true_label,original_sent,text_output
1,"Going forward, consumer outlays were expected to be supported by further advances in employment and income.","NEUTRAL
The sentence predicts consumer spending will be supported by employment and income growth, which does not directly indicate a change in monetary policy stance."
1,"When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. ""","HAWKISH
The sentence indicates a future intention to tighten monetary policy by removing policy accommodation, aiming to balance employment goals with a target inflation rate."
2,Several participants noted the increase in agricultural crop prices over 2020 and the associated improvement in farm revenues.,"NEUTRAL

The sentence merely reports an observation on agricultural crop prices and farm revenues, without indicating a clear direction for monetary policy."
0,"However, core inflation had been subdued in recent months and longer-run inflation expectations remained contained.","DOVISH
The sentence suggests that inflation is under control, which may imply there is no immediate need for tightening monetary policy."
1,"Policy tightening started last year, as emerging markets including Mexico and Brazil increased rates substantially amid expectations of accelerating inflation.","HAWKISH
The sentence indicates a tightening of monetary policy, which is associated with actions taken to combat inflation, a stance typically described as hawkish."
2,"But it could be that if interest rates rise quickly, for example, that we would be in a situation of not giving remittances to the Treasury for a couple of years, and that would create problems, no doubt, for the Fed in terms of congressional response.","HAWKISH
The sentence suggests a scenario where interest rates rise quickly, which is indicative of a tightening monetary policy stance."
0,"And, in particular, I do personally believe that the slowdown is at least partly temporary, and that we’ll see greater growth going forward.","DOVISH
The sentence suggests an expectation of economic improvement, implying that there may be no need for immediate tightening of monetary policy."
2,Prospects for ProductivityLet me close with some comments on the outlook for productivity.,"NEUTRAL

The sentence is a lead-in to a discussion on productivity outlook, which does not directly indicate a stance on monetary policy tightening or easing."
2,That is why foreign trade deficits are typically thought of as self-correcting.,"NEUTRAL

The sentence discusses a characteristic of foreign trade deficits without indicating a specific direction for monetary policy."
1,"The staff raised slightly its projection for inflation during the second half of this year, as the upward pressure on consumer prices from earlier increases in import and commodity prices was expected to persist a little longer than previously anticipated.","HAWKISH
The sentence suggests an expectation of continued inflationary pressure, which could imply a need for tighter monetary policy to manage inflation."
2,Monetary policy has an ambiguous effect on trade imbalances.,"NEUTRAL

The sentence does not indicate a clear direction towards tightening or easing monetary policy, but rather discusses the uncertain impact of monetary policy on trade imbalances."
2,"So that’s in the low 20s, and that’s post the May employment report.","NEUTRAL

The sentence provides a factual statement about a data point following the May employment report, without indicating a clear direction for monetary policy."
2,Price shocks.,"NEUTRAL

The phrase ""Price shocks"" by itself does not indicate a clear direction towards tightening or easing monetary policy; it is simply a term that could be part of a broader discussion on economic conditions."
2,"Al­though core inflation and the 12-month trimmed mean PCE inflation rate calculated by the Federal Reserve Bank of Dallas remained a little below 2 percent, many participants anticipated that high levels of resource utilization and stable inflation expectations would keep overall inflation near 2 percent over the medium term.","NEUTRAL

The sentence indicates an expectation of stable inflation near the target level, suggesting a balanced view without a clear bias towards tightening or easing monetary policy."
2,"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.","DOVISH
The sentence suggests that there is still some slack in the labor market, implying that there may be room for monetary policy to remain accommodative to support further employment gains without triggering inflationary pressures."
