true_label,original_sent,text_output
2,Several participants noted the increase in agricultural crop prices over 2020 and the associated improvement in farm revenues.,"NEUTRAL

The sentence merely reports an observation on agricultural crop prices and farm revenues, without indicating a clear direction for monetary policy."
2,"However, it was noted that slower growth in productivity might have become the norm.","NEUTRAL

The sentence reflects a view on economic conditions (productivity growth) without a clear direction on monetary policy adjustments."
1,"In these circumstances, the Committee believed that policy accommodation could be removed at a pace that would likely be measured but noted that it would respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.","HAWKISH

The sentence indicates a plan to remove policy accommodation, which suggests a tightening of monetary policy, but with a cautious approach to the pace of such tightening."
0,"In particular, the Committee decided today to keep the target range for the federal funds rate at 0 to 1/4 percent and currently anticipates that economic conditions--including low rates of resource utilization and a subdued outlook for inflation over the medium run--are likely to warrant exceptionally low levels for the federal funds rate at least through late 2014.","DOVISH
The sentence indicates a decision to maintain a low federal funds rate due to low resource utilization and a subdued inflation outlook, suggesting a policy aimed at stimulating the economy."
2,"Members still saw the economic expansion continuing, and most believed that inflation was likely to stabilize near recent low readings in coming quarters and then gradually rise toward levels they consider more consistent with the Committee's dual mandate for maximum employment and price stability.","NEUTRAL
The sentence suggests a balance between expectations of continued economic expansion and a stable inflation rate, aligning with the goals of the dual mandate without indicating a clear move towards tightening or easing monetary policy."
0,Most other market interest rates declined further on balance over the period in an atmosphere of greater volatility in financial markets.,"DOVISH
The sentence suggests a decline in market interest rates, which typically corresponds to an easing of monetary policy conditions, often associated with a dovish stance."
0,"Reinforcing this outlook was recent evidence of somewhat faster than anticipated productivity growth, the prospect that world economic conditions would hold down energy prices, and a sharp drop in near-term inflation expectations of households as reported in recent surveys.","NEUTRAL

The sentence suggests a balanced view, acknowledging positive economic indicators without a clear direction towards tightening or easing monetary policy."
0,"The Committee directs the Desk to purchase GSE debt, GSE-guaranteed MBS, and longer-term Treasury securities during the intermeeting period with the aim of providing support to private credit markets and economic activity.","DOVISH
The sentence indicates a policy action to purchase government-sponsored enterprise (GSE) debt and mortgage-backed securities (MBS), which is typically done to provide liquidity and support to the markets, suggesting an easing of monetary policy."
0,"Participants agreed that the longer-run normal federal funds rate was likely lower than in the past, in part because of secular forces that had put downward pressure on real interest rates.","DOVISH

The sentence suggests a recognition of lower long-term interest rates due to persistent structural factors, which implies a potential easing of monetary policy compared to past norms."
2,The members also agreed on the desirability of retaining the assessment that the risks with regard to the outlook for economic growth were balanced.,"NEUTRAL
The sentence indicates a consensus on maintaining a current assessment about economic growth risks, suggesting a steady outlook without a clear direction towards tightening or easing monetary policy."
0,The external sector was expected to exert a small restraining influence on economic activity over the projection period.,"NEUTRAL
The sentence indicates an expectation of external factors having a slight restraining effect on economic activity, which does not directly suggest a change in monetary policy stance."
0,"Housing demand and consumer spending firmed toward the end of the year, but capital spending remained quite weak in an environment of substantial business uncertainty and pessimism.","NEUTRAL

The sentence indicates mixed economic conditions, with some sectors showing improvement and others remaining weak, without a clear direction for monetary policy."
1,"While a preemptive tightening move might be warranted in the not-too-distant future to help contain inflationary pressures in the economy, these members believed that a symmetrical directive would best convey the message that no tightening action was contemplated for the weeks immediately ahead.","HAWKISH

The sentence suggests a consideration for future tightening to address inflation, indicating a leaning towards a more hawkish stance, despite the current decision to maintain a symmetrical directive."
2,"In the near term, the 12-month change in PCE prices was expected to move above 2 percent as the low inflation readings from the spring of last year drop out of the calculation.","HAWKISH
The sentence suggests an expectation of rising inflation, which often leads to tightening monetary policy to control inflationary pressures."
1,"Participants marked up their inflation projections, as they assessed that supply constraints in product and labor markets were larger and likely to be longer lasting than previously anticipated.","HAWKISH
The sentence indicates a revision of inflation projections upwards due to persistent supply constraints, suggesting a potential tightening of monetary policy to address higher inflation."
2,"However, most participants judged that inflation would stabilize around the Committee's 2 percent objective over the medium term.","NEUTRAL
The sentence indicates a belief that inflation will stabilize, suggesting neither an immediate tightening nor easing of monetary policy, but rather an expectation of achieving the target inflation rate."
1,"In their discussion of the economic situation and the outlook, meeting participants agreed that information received over the intermeeting period indicated that the labor market had continued to strengthen and that economic activity had been rising moderately so far this year.","NEUTRAL

The sentence describes the current economic conditions without indicating a clear direction for future monetary policy changes, thus it is neutral."
0,"The Committee currently expects that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace and labor market indicators will strengthen.","NEUTRAL
The sentence indicates a balanced approach to monetary policy adjustments, aiming for moderate economic expansion and labor market improvement without a clear direction towards tightening or easing."
1,Such a directive would imply that any tightening should be implemented promptly if developments were perceived as pointing to rising inflation.,"HAWKISH
The sentence suggests a proactive approach to tightening monetary policy in response to signs of rising inflation, which is characteristic of a hawkish stance."
2,"Staff Review of the Financial Situation The decision by the FOMC to keep the target range for the federal funds rate unchanged at the December meeting and its retention of the ""extended period"" language in the statement were widely anticipated by market participants and elicited little price response.","NEUTRAL
The sentence indicates that the FOMC's decision to maintain the current target range for the federal funds rate and the use of ""extended period"" language was expected and did not significantly impact market prices, suggesting a continuation of existing policy rather than a change."
0,"With regard to the consensus in favor of moving from an assessment of risks weighted toward rising inflation to one that was weighted toward economic weakness, with no intermediate issuance of a balanced risks assessment, some members observed that such a change was likely to be viewed as a relatively rapid shift by some observers.","HAWKISH
The sentence suggests a shift in focus from concerns about rising inflation to concerns about economic weakness without a neutral phase, indicating a potential move towards tightening monetary policy to address inflation."
2,"In the housing sector, demand had continued to display appreciable strength in recent months in association with relatively moderate mortgage rates and very positive consumer assessments of homebuying conditions.","NEUTRAL

The sentence describes the current state of the housing sector without indicating a clear direction for future monetary policy changes."
0,"Indeed, financial services firms had already announced layoffs, largely reflecting mortgage market developments, the demand for temporary workers appeared to have softened, and the most recent weakening in construction employment was likely to continue for a while.","DOVISH
The sentence suggests economic softening in several sectors, which could imply a potential easing of monetary policy to counteract weakening employment and demand."
1,"The pace of real GDP growth was forecast to be faster over the second half of this year than in the first half, primarily reflecting a modest increase in the rate of growth of private domestic final purchases and a sizable turnaround in inventory investment.","NEUTRAL
The sentence describes expectations for economic growth, focusing on GDP and investment factors, without directly indicating a change in monetary policy stance."
2,One member anticipated little if any effect on economic growth and unemployment and did not agree that the outlook for economic activity and inflation called for further policy accommodation.,"HAWKISH
The sentence suggests a stance against further policy accommodation, implying no need for easing monetary policy, which is consistent with a hawkish perspective."
2,The pace of job gains slowed and the unemployment rate held steady.,"NEUTRAL
The sentence indicates a change in labor market conditions without a clear direction for monetary policy tightening or easing."
1,"Indeed, in the interest of fostering a continuation of sustainable growth of the economy, it would be desirable to tighten before any sign of actual higher inflation were to become evident.","HAWKISH
The sentence suggests preemptive tightening of monetary policy to sustain economic growth before inflation rises, indicating a preference for measures that would typically restrict the money supply and potentially increase interest rates."
2,"In the household sector, the rise in home mortgage debt likely slowed a bit further in the first quarter, as home-price appreciation appeared to have remained sluggish.","NEUTRAL

The sentence describes a condition in the household sector without indicating a clear direction for monetary policy tightening or easing."
1,"The Committee also noted that output had continued to expand at a solid pace, new hiring had appeared to pick up, and although incoming data on inflation showed that it had moved somewhat higher, longer-term inflation expectations had remained well contained.","NEUTRAL

The sentence indicates a balanced view, acknowledging both solid economic expansion and a pickup in hiring, while also noting that inflation has increased but is not out of control."
2,"These members indicated that the economic outlook remained positive and that they anticipated, under an unchanged policy stance, continued strong labor market conditions and solid growth in activity, with inflation gradually moving up to the Committee's 2 percent objective.","NEUTRAL
The sentence suggests a positive economic outlook with expectations of continued strong labor market conditions and solid growth, alongside a gradual increase in inflation towards the target, implying satisfaction with the current policy stance."
2,"Price inflation had picked up a little but, abstracting from energy, had remained relatively subdued.","DOVISH
The sentence suggests that aside from a temporary increase in energy prices, inflation remains relatively low, which could imply a stance towards easing monetary policy or at least not tightening it."
2,"With the boost from these factors fading, real GDP growth was projected to step down noticeably in 2023 and to be roughly equal to potential output growth in 2023 and 2024.","NEUTRAL

The sentence indicates an expectation of a return to normal growth rates, aligning with potential output, without a clear direction for monetary policy change."
0,"Many members concluded that because there did not seem to be any urgency to tighten current policy for domestic reasons, given the likelihood that inflation would remain subdued for a while, important weight should be given to potential reactions abroad.","DOVISH
The sentence suggests a stance against tightening monetary policy due to low inflation expectations and consideration of international reactions, indicating a preference for maintaining or easing current policy."
0,"However, a couple of participants noted that the recent oil price decline could also be associated with increasing oil supply rather than softening global demand.","NEUTRAL

The sentence discusses factors influencing oil prices without a clear indication of a policy stance on monetary tightening or easing."
1,"Job gains had been solid, on average, in recent months, and the unemployment rate had remained low.","NEUTRAL
The sentence describes the state of the labor market without indicating a clear direction for future monetary policy."
1,"On the upside, recent fiscal policy changes could lead to a greater expansion in economic activity over the next few years than the staff projected.","HAWKISH
The sentence suggests that fiscal policy changes might stimulate the economy more than expected, which could lead to a tightening of monetary policy to counteract inflationary pressures."
0,"At earlier stages of processing, the producer price index for core intermediate materials continued to decline through May, albeit at a slower pace than that seen at the end of 2008.","NEUTRAL

The sentence describes a historical observation of price index trends without indicating a clear future monetary policy action."
2,"Several participants noted that the unseasonably warm weather of recent months added one more element of uncertainty to the interpretation of incoming data, and that this factor might account for a portion of the recent improvement in indicators of employment and housing.","NEUTRAL

The sentence discusses the impact of weather on economic data interpretation, without a clear indication of a policy direction."
2,"The staff viewed the extent of uncertainty around its March projections for real GDP growth, the unemployment rate, and inflation as similar to the average over the past 20 years.","NEUTRAL

The sentence reflects a comparison to historical averages regarding economic projections, without indicating a clear direction for future monetary policy changes."
0,"However, the dollar partially retraced these increases following the much weaker-than-expected U. S. employment report for May, finishing the period a bit stronger against the currencies of the AFEs and about 3 percent higher against EME currencies.","NEUTRAL

The sentence describes market reactions to economic data, not a direct stance on monetary policy."
2,"For now, the Committee should remain particularly vigilant to incoming information bearing on the outlook for inflation.","HAWKISH
The sentence suggests a focus on potential inflation risks, which implies readiness to tighten monetary policy if inflationary pressures are observed."
1,"Accordingly, much stronger growth in such investment could occur, with concomitant effects on incomes and the growth of overall spending.","NEUTRAL
The sentence suggests a potential outcome of stronger growth in investment and its effects on incomes and overall spending, without a clear indication of a monetary policy stance."
2,"Pressures on labor resources were likely to ease somewhat as the expansion of economic activity slowed,","NEUTRAL

The sentence suggests an expectation of a natural moderation in labor pressures due to a slowing economy, without a clear indication of a policy shift towards tightening or easing."
1,"Looking ahead, an abatement or reversal of some of the temporary factors reducing prices was likely to raise measured inflation.","HAWKISH
The sentence suggests an expectation of rising inflation, which typically leads to tightening monetary policy to control price levels."
0,The staff's forecast for core PCE price inflation this year was revised down a little in response to recent data.,"DOVISH
The sentence suggests a downward revision of inflation expectations, which could imply less pressure to tighten monetary policy."
1,"When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. ""","HAWKISH
The sentence indicates a future intention to tighten monetary policy by removing policy accommodation, which is consistent with a hawkish stance."
2,"Some members commented, however, that the relationship between the output gap and inflation was quite loose and that the outlook for productivity remained uncertain.","NEUTRAL

The sentence expresses uncertainty about the relationship between economic output and inflation, and the outlook for productivity, without a clear direction towards tightening or easing monetary policy."
2,"The behavior of the monetary aggregates will continue to be evaluated in the light of progress toward price level stability, movements in their velocities, and developments in the economy and financial markets.","NEUTRAL
The sentence indicates ongoing evaluation of monetary aggregates with respect to various economic indicators, without a clear direction towards tightening or easing monetary policy."
1,Participants' concerns about inflation prospects generally had increased over the intermeeting period.,"HAWKISH
The sentence indicates that the participants are more concerned about inflation, which typically suggests a bias towards tightening monetary policy to combat rising prices."
2,"Indicators of supply and demand conditions for small business credit were generally unchanged over the past quarter, with demand appearing to remain weak.","NEUTRAL
The sentence describes the status quo of supply and demand conditions for small business credit without indicating a clear direction for monetary policy changes."
2,Several members noted the benefits of accumulating further information that could help clarify the contours of the outlook for economic activity and inflation as well as the need for further policy action.,"NEUTRAL

The sentence indicates a stance of observation and information gathering rather than a clear intent to either tighten or ease monetary policy."
0,"While prices in equity markets had turned up from their recent lows, the cumulative losses in financial wealth incurred since early 2000 clearly were having an adverse impact on expenditures by households and the higher cost of equity capital was inhibiting business investment.","HAWKISH

The sentence suggests concerns about adverse impacts on expenditures and investment due to financial market conditions, which could imply a need for tighter monetary policy to stabilize the economy."
1,"Nonetheless, participants noted a risk that the drop-back in inflation could be slower or more limited than the Committee would find desirable since resource utilization was currently tight and the pickup in price increases had been broadly based rather than being limited to a few specific sectors that could be linked to energy costs.","HAWKISH
The sentence suggests concern over persistent inflation and tight resource utilization, implying a potential need for continued monetary policy tightening."
2,One participant suggested that the economic projections would be more understandable if they were based on a common interest rate path.,"NEUTRAL

The sentence discusses the clarity of economic projections rather than a direction for monetary policy."
0,"A surge in nonfarm business inventory investment accounted for a substantial portion of the acceleration in output in the first quarter, and an anticipated moderation in the accumulation of inventories was an important element in forecasts of greatly reduced economic growth in the current quarter.","NEUTRAL

The sentence describes past economic data and expectations for future economic growth without directly suggesting a change in monetary policy stance."
2,"The run-up in mortgage rates since the latter part of June was expected to curb housing demand to a limited extent in coming months,","HAWKISH
The sentence suggests an expectation of a slowdown in housing demand due to rising mortgage rates, which is indicative of the effects of a tightening monetary policy."
1,"With underlying inflation expected to be relatively low, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured.","HAWKISH
The sentence suggests a gradual tightening of monetary policy, indicating an intent to remove policy accommodation, which is associated with a hawkish stance."
1,"Nonetheless, the reported rise in employment of temporary workers in recent months could presage a broader increase in job growth and thus was a welcome development.","NEUTRAL
The sentence reflects a positive outlook on employment trends without a clear indication of a policy shift towards tightening or easing."
0,"still outpace that of potential over this period, leading to a decline in the unemployment rate to historically low levels, as monetary policy was assumed to remain highly accommodative.","DOVISH
The sentence suggests that monetary policy will remain highly accommodative, which typically means an easing stance to support economic activity, hence the dovish classification."
2,"Participants' Views and Committee Policy ActionIn conjunction with this FOMC meeting, all meeting participants--the five members of the Board of Governors and the presidents of the 12 Federal Reserve Banks--provided projections for economic growth, the unemployment rate, and consumer price inflation for each year from 2009 through 2011 and over a longer horizon.","NEUTRAL

The sentence describes a procedural action of the FOMC where participants provided economic projections, which does not directly indicate a stance on monetary policy."
2,"Participants expected that productivity growth would pick up as firms slowed hiring to a pace more in line with output growth but acknowledged that the improvement might be limited, particularly if business investment spending were to remain soft.","NEUTRAL

The sentence reflects expectations about productivity and hiring without a clear indication of a policy shift towards tightening or easing."
0,Consumer spending firmed somewhat during the first quarter despite the rising unemployment rate and significant financial strains.,"NEUTRAL

The sentence indicates a mixed economic situation, with both positive (consumer spending firmed) and negative (rising unemployment rate and significant financial strains) aspects, suggesting a neutral stance on monetary policy."
0,"Members saw the persistence of a relatively vigorous expansion in overall economic activity as a likely prospect in the context of continuing stimulus from fiscal and monetary policies, accommodative financial conditions, growing business optimism, favorable consumer sentiment, and robust increases in productivity.","HAWKISH
The sentence suggests expectations of a strong economic expansion supported by ongoing fiscal and monetary stimulus, which may lead to a tightening of monetary policy to prevent overheating."
2,Members noted that they expected to maintain this target range until they were confident that the economy had weathered recent events and was on track to achieve the Committee's maximum employment and price stability goals.,"NEUTRAL

The sentence indicates a wait-and-see approach, maintaining the current target range until economic conditions align with the Committee's goals, without a clear immediate action towards tightening or easing."
1,It was also noted that the weakness in homebuilding along with the continued rise in house prices suggested that supply constraints were also weighing on construction activity.,"DOVISH
The sentence suggests concerns about economic weakness in the housing sector, which could imply a consideration for easing monetary policy to support the sector."
1,"Although readings on core inflation had improved modestly since the spring, nearly all participants viewed core inflation as uncomfortably high and stressed the importance of further moderation.","HAWKISH
The sentence indicates a concern about high core inflation and emphasizes the need for further moderation, suggesting a preference for tightening monetary policy to address inflation."
1,Most participants continued to think that the cyclical pressures associated with a tightening labor market were likely to show through to higher inflation over the medium term.,"HAWKISH
The sentence suggests that participants expect higher inflation due to a tightening labor market, which implies a potential for monetary policy tightening to control inflation."
