true_label,original_sent,text_output
2,"In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its maximum employment objective and its symmetric 2 percent inflation objective.","NEUTRAL
The sentence indicates that the Committee will make future rate adjustments based on economic assessments relative to its goals, without a clear direction towards tightening or easing."
1,"Consumer prices jumped in October, as hurricane damage contributed to higher prices for food and energy.","NEUTRAL

The sentence describes a situation impacting consumer prices but does not directly indicate a change in monetary policy stance."
2,"Specifically, the projections converged on CPI inflation rates of 2-1/4 to 2-1/2 percent in 1997 and 2-1/2 to 3 percent in 1998.","NEUTRAL

The sentence is merely providing projections of CPI inflation rates without indicating a clear direction for monetary policy."
0,"The steepening of the yield curve was due mostly to sharply lower short- and intermediate-term forward rates, consistent with investors' apparently more pessimistic outlook for economic growth.","DOVISH
The sentence suggests that investors expect slower economic growth, which often leads to a more accommodative monetary policy stance."
1,"When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. ""","HAWKISH
The sentence indicates a future intention to tighten monetary policy by removing accommodation, aiming to balance employment goals with a target inflation rate."
0,"Many expected those conditions to be met later this year, although several members were concerned about downside risks to the outlook for real activity and inflation.","DOVISH
The sentence suggests that while there is an expectation for certain conditions to be met, there is also concern about potential negative risks to economic activity and inflation, indicating a cautious or accommodative stance rather than an aggressive tightening of monetary policy."
2,Communications about monetary policy over the intermeeting period generally had little effect on Treasury yields or the expected path of the federal funds rate.,"NEUTRAL

The sentence describes market reactions to communications about monetary policy without indicating a clear direction towards tightening or easing."
0,"Given the pressure of a considerable amount of unused resources, any adverse developments that held down economic expansion would increase the probability of further disinflation.","DOVISH
The sentence suggests a concern for economic slowdown and disinflation, which could lead to a more accommodative monetary policy stance to support expansion."
1,"At the same time, however, the staff increased the growth rate forecast for 2006 to reflect the boost to economic activity from the rebuilding effort.","NEUTRAL

The sentence indicates an adjustment in economic growth forecasts due to increased activity from rebuilding efforts, which does not directly suggest a change in monetary policy stance."
2,"Overall employment gains were relatively well maintained, and labor markets were still tight though showing signs of softening.","NEUTRAL
The sentence indicates that employment is stable and labor markets are tight, suggesting a balanced view without a clear direction towards tightening or easing monetary policy."
1,"Participants judged that an appropriate firming of the stance of monetary policy, along with an eventual waning of supply–demand imbalances, would help to keep longer-term inflation expectations anchored and bring inflation down over time to levels consistent with the Committee's 2 percent longer-run goal.","HAWKISH
The sentence indicates a preference for tightening monetary policy to control inflation and align it with the Committee's long-term target."
2,Most participants continued to see the risks to inflation as balanced.,"NEUTRAL

The sentence indicates that the participants' views on inflation risks are evenly distributed, suggesting no clear bias towards either tightening or easing monetary policy."
0,"Subsequently, the expected future path of monetary policy dropped amid increasing concerns about the health of financial institutions.","DOVISH
The sentence suggests a decrease in the expected future path of monetary policy, which typically aligns with easing measures in response to concerns about financial institutions' health."
0,The external sector was expected to exert a small restraining influence on economic activity over the projection period.,"NEUTRAL
The sentence indicates an expectation about the external sector's impact on economic activity without directly suggesting a change in monetary policy stance."
2,"In the Committee's discussion of current and prospective economic conditions, members focused on the disparate forces that continued to shape trends in economic activity, notably the persist- ence of considerable strength in private domestic spending and the damping influences stemming from foreign economic developments.","NEUTRAL

The sentence describes a balanced view of economic conditions, mentioning both strong domestic spending and negative external influences, without a clear direction towards tightening or easing monetary policy."
0,"Although the near-term economic outlook is weak, the Committee anticipates that policy actions to stabilize financial markets and institutions, together with fiscal and monetary stimulus, will contribute to a gradual resumption of sustainable economic growth.","DOVISH
The sentence suggests that despite a weak economic outlook, the Committee expects that a combination of policy actions aimed at stabilizing markets and institutions, along with fiscal and monetary stimulus, will lead to a recovery, indicating a stance towards easing monetary policy to support growth."
1,"Staff Economic Outlook In the economic forecast prepared by the staff for the June FOMC meeting, real GDP growth in the second half of this year was expected to step up from its pace in the first half.","NEUTRAL

The sentence merely provides an observation on economic forecasts without indicating a clear direction for monetary policy tightening or easing."
2,The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter.,"NEUTRAL

The sentence is describing an observation of economic data without indicating a clear direction for monetary policy tightening or easing."
1,"However, with tightening resource constraints indicating unsustainable growth, only tentative signs that growth might be slowing, and various factors that had been damping prices now turning around, all the members agreed on the need for a slight tightening at this meeting to raise the odds on containing inflation and forestalling the inflationary imbalances that would undercut the very favorable performance of the economy.","HAWKISH
The sentence indicates a consensus among members for a slight tightening of monetary policy to control inflation and prevent imbalances, which is indicative of a hawkish stance."
2,"However, in the view of most members, the outlook for both economic activity and price pressures remained very uncertain, and thus the timing and magnitude of future policy actions was quite unclear.","NEUTRAL

The sentence indicates uncertainty about future economic conditions and monetary policy actions, suggesting a wait-and-see approach rather than a clear hawkish or dovish stance."
0,U. S. real GDP was forecast to plummet and the unemployment rate to soar in the second quarter of this year.,"DOVISH
The sentence suggests a negative economic outlook, which often leads to monetary policy easing to support the economy."
0,"In particular, participants judged that communicating the Committee's expectation that short-term interest rates were likely to stay exceptionally low for some time could be useful because it could lead to pricing of longer-term interest rates consistent with the path of monetary policy that policymakers saw as most likely.","DOVISH
The sentence suggests that the Committee is considering communicating an expectation of keeping short-term interest rates low for an extended period, which is typically a dovish stance as it implies an easing of monetary policy."
1,"The faster pace of real GDP growth was expected to be supported by an easing in the restraint from changes in fiscal policy, increases in consumer and business confidence, further improvements in credit availability and financial conditions, and a pickup in the rate of foreign economic growth.","NEUTRAL

The sentence describes expectations of economic growth due to various supportive factors but does not directly indicate a change in monetary policy stance."
2,Major equity indexes appeared to be supported by lower interest rates and posted modest gains despite the increases in energy prices.,"NEUTRAL

The sentence describes market observations without indicating a clear direction for future monetary policy."
2,"In their discussion of the economic situation and the outlook, meeting participants viewed the information received over the intermeeting period as suggesting that economic activity had been expanding moderately despite the global economic and financial developments of recent months.","NEUTRAL
The sentence indicates that economic activity is expanding at a moderate pace, acknowledging both positive and negative factors without suggesting a clear direction for monetary policy changes."
2,Indicators of longer-term inflation expectations were little changed on balance.,"NEUTRAL

The sentence indicates that there has been no significant change in the indicators of longer-term inflation expectations, suggesting a neutral stance on monetary policy rather than a clear direction towards tightening or easing."
1,They also noted that even with this additional firming the risks were still weighted mainly in the direction of rising inflationary pressures.,"HAWKISH
The sentence suggests a stance towards tightening monetary policy to address concerns about potential rising inflationary pressures."
2,"Broad equity prices rose, adding to their substantial gains since the middle of 2010.","NEUTRAL

The sentence describes market behavior and does not directly indicate a stance on monetary policy tightening or easing."
1,"In his view, historical precedents suggested that prolonged periods of taut labor markets were eventually associated with rising inflation.","HAWKISH
The sentence implies a concern that tight labor markets could lead to inflation, which suggests a bias towards tightening monetary policy to prevent such an outcome."
