true_label,original_sent,text_output
1,"PCE core is at about 2, and I think we see that, you know, the temporary increase in headline inflation as being a function of oil prices probably, and we expect inflation to go back down to 2 percent.","DOVISH
The sentence suggests that the current increase in headline inflation is seen as temporary and primarily due to oil prices, with expectations for inflation to return to the target level, indicating a stance towards easing rather than tightening."
1,"The problem with the current situation is that, that if you have a sustained period of supply shocks, those can actually start to undermine or to work—to work on de-anchoring inflation expectations.","HAWKISH
The sentence suggests a concern about inflation expectations potentially becoming unanchored due to sustained supply shocks, which could imply a need for tighter monetary policy to control inflation."
2,We continue to discuss whether or not the unemployment rate itself is an adequate measure of how much underutilization of labor resources there really is.,"NEUTRAL

The sentence is discussing the adequacy of the unemployment rate as a measure of labor underutilization, which does not directly indicate a stance on monetary policy tightening or easing."
2,"And the maximum level of employment that’s consistent with price stability evolves over time within a—within a business cycle and over a longer period, in part reflecting [the] evolution of the factors that affect labor supply, including those related to the pandemic.","NEUTRAL

The sentence discusses the dynamic nature of the employment level consistent with price stability, acknowledging changes over time and external factors, without a clear directional stance on monetary policy."
2,"As a further step in enhancing the clarity of our communications, the Committee recently decided to begin publishing information about participants’ assessments of appropriate monetary policy—that is, the path of policy that each participant judges as most likely to foster mandate-consistent outcomes for employment and inflation if the economy evolves as expected.","NEUTRAL

The sentence describes a procedural change in communication rather than a direct indication of monetary policy stance."
2,"And so when asset prices went back up, probably there’ll be a swing around there, a positive contribution.","NEUTRAL
The sentence discusses the impact of rising asset prices on economic contributions, without a clear indication of a monetary policy stance."
0,"However, at 7.7 percent, the unemployment rate remains elevated.","NEUTRAL
The sentence merely states a fact about the current unemployment rate without indicating a clear direction for monetary policy."
0,"Again, that’s not a forecast, I’ve made a hypothesis, which would imply slower improvement in unemployment.","DOVISH
The sentence suggests a slower improvement in unemployment, which typically implies a more accommodative stance to support economic growth and job creation."
0,"As you said, falling oil prices pull down inflation.","DOVISH
The sentence suggests that falling oil prices, which typically reduce inflationary pressures, could lead to a more accommodative monetary policy stance."
2,These base effects will contribute about 1 percentage point to headline inflation and about 0.7 percentage point to core inflation in April and May.,"NEUTRAL
The sentence is describing a statistical effect on inflation measurements, not indicating a policy direction."
2,So we do say that risks to the financial system—we say in our longer-run statement of goals and monetary policy strategy that risks to the financial system that could prevent us from achieving our goals are something that we do take into consideration.,"NEUTRAL

The sentence indicates that the FOMC takes into consideration risks to the financial system that could impact their ability to achieve their goals, but it does not explicitly suggest a direction for monetary policy adjustment."
2,We also do see the different measures of slack in the labor market point to different assessments of just what maximum employment is.,"NEUTRAL

The sentence discusses varying assessments of maximum employment in the labor market, which does not directly indicate a clear stance on monetary policy tightening or easing."
2,it does have a bearing on the inflation outlook.,"NEUTRAL

The sentence indicates that something affects the inflation outlook, but it does not specify a direction towards tightening or easing monetary policy."
1,"That said, many of my colleagues and I would see a portion of the decline in the unemployment rate as perhaps not representing a diminution of slack in the labor market.","NEUTRAL

The sentence suggests a view on the labor market conditions without indicating a clear direction for monetary policy tightening or easing."
0,"And inflation is moving—moving up, I think, toward our 2 percent objective.","HAWKISH
The sentence suggests that inflation is approaching the target, which may imply a need for tightening monetary policy to prevent overheating."
1,"Our mandate, sorry, is price inflation.","NEUTRAL
The sentence merely references the mandate of focusing on price inflation without indicating a direction for monetary policy."
0,"By the way, we’re also not at maximum employment, as I mentioned.","NEUTRAL

The sentence indicates a status of the employment situation without suggesting a specific monetary policy action."
1,An unexpectedly sharp increase in wages or inflation could tell you that you’re reaching those points.,"HAWKISH
The sentence suggests a concern about rising inflation or wages, which could imply a need for tightening monetary policy to prevent overheating of the economy."
2,"So and, and, you know, the shorter-term ones do tend to move around based on, for example, gasoline prices.","NEUTRAL

The sentence discusses the impact of external factors like gasoline prices on short-term economic indicators, without a clear direction on monetary policy."
0,"So those who can get credit, together with the low prices of houses, are at—able to buy much more house than they could have a few years ago.","DOVISH
The sentence suggests that credit availability and low house prices are enabling people to buy more house than before, which implies a supportive or accommodative monetary policy stance."
0,"So in—in—in U-6, the U-6 level of unemployment has tripled from 7 percent to 21 percent.","HAWKISH

The focus on a significant increase in U-6 unemployment suggests concern over economic conditions, which could imply a justification for potential tightening to address inflation or economic overheating."
0,"We’re charged by Congress with trying to pursue maximum employment, and we have taken that very seriously.","NEUTRAL
The sentence expresses a commitment to a mandate rather than indicating a specific monetary policy direction."
0,"I expect that to continue, and I would expect also to see some improvement in the degree of part-time employment that’s for economic reasons.","NEUTRAL
The sentence reflects an expectation of improvement in employment conditions, which does not directly indicate a change in monetary policy stance."
2,Our current framework for implementing monetary policy is working very well.,"NEUTRAL
The sentence indicates satisfaction with the current policy framework without suggesting a direction for future monetary policy changes."
2,"Returning to monetary policy, we recognize that there has been a great deal of focus on today’s policy decision.","NEUTRAL

The sentence merely acknowledges the attention on the policy decision without indicating a direction of policy change."
2,The outbreak has also disrupted economic activity in many countries and has prompted significant movements in financial markets.,"NEUTRAL

The sentence describes the impact of an outbreak on economic activity and financial markets, without indicating a clear direction for monetary policy."
2,"But again, our basic forecast is one which is basically, as was pointed out earlier by Mr. Hilsenrath, a moderately optimistic forecast, where growth picks up as we pass through this period of fiscal restraint","NEUTRAL

The sentence indicates a moderately optimistic economic forecast without a clear direction on monetary policy adjustments, suggesting a neutral stance."
2,"And in so far as that will affect monetary policy, of course we will have to factor those policies along with many other things, including the global environment and oil prices and other matters.","NEUTRAL
The sentence indicates a consideration of various factors, including policies, the global environment, and oil prices, without a clear direction towards tightening or easing monetary policy."
1,And productivity’s been very low.,"NEUTRAL

The sentence merely states an observation about productivity levels without indicating a clear direction for monetary policy."
2,"You know, we’re, we’re—inflation measures are always going to be a bit volatile.","NEUTRAL

The sentence acknowledges the volatility of inflation measures without indicating a clear direction for monetary policy."
2,"There should be able to be an adjustment that would have lower than—perhaps lower-than-expected increases in unemployment—lower than would be expected in the ordinary course of events because the level—the ratio of, of vacancies to unemployed is just out of keeping with historical experience.","NEUTRAL

The sentence suggests a potential adjustment leading to lower-than-expected increases in unemployment, which does not directly indicate a clear stance on monetary policy tightening or easing."
0,"And it’s natural that if it can be employed that, just as monetary policy is doing a lot to try to June 15, 2016 stimulate growth, that fiscal policy should play a role.","DOVISH
The sentence suggests that fiscal policy should assist monetary policy in stimulating growth, implying a preference for an easier, growth-supportive policy stance."
1,And we’d like to see that in the form of a series of declining monthly inflation readings—that’s what we’re looking for.,"HAWKISH
The sentence indicates a desire to see declining inflation, which suggests a preference for policies that would tighten monetary conditions to reduce inflation."
2,"What we really mean is that we would look at—we know that inflation will move around on both sides of the target, and what we say is that we would be equally concerned with inflation persistently above as persistently below the target.","NEUTRAL

The sentence indicates a balanced approach to inflation, suggesting concern for inflation rates both above and below the target, without a clear bias towards tightening or easing monetary policy."
2,"So let me talk about the coronavirus specifically, and then I’ll turn more to global growth more generally.","NEUTRAL

The sentence is a prelude to a discussion about the coronavirus and its impact on global growth, without any specific indication of monetary policy direction."
2,"Wage growth is not—there are many factors that affect it—it’s not definitive in any sense in determining our policy,","NEUTRAL

The sentence indicates that wage growth is not a sole determinant in policy-making, suggesting a balanced view without a clear lean towards tightening or easing monetary policy."
1,"Well, you’re certainly right that we have been over-optimistic about out-year growth.","NEUTRAL

The sentence reflects an acknowledgment of past forecasting errors regarding economic growth, without directly indicating a future monetary policy stance."
2,"I mean, we—the—again, the relationship between slack in the economy and inflation is weak, has been weak.","DOVISH
The sentence suggests that the relationship between economic slack (underutilized resources) and inflation is weak, implying that even with slack, inflation pressures may not be significant, which can justify a more accommodative (dovish) monetary policy stance."
2,"Looking ahead, FOMC participants project the unemployment rate to continue to decline; the median projection is 5 percent at the end of next year and moves below 4 percent by 2023.","NEUTRAL

The sentence is a projection about the unemployment rate and does not directly indicate a future stance on monetary policy tightening or easing."
0,"You know, it says that we will seek to—seek inflation that runs moderately above 2 percent for some time.","HAWKISH
The sentence indicates a willingness to allow inflation to run above the target rate, suggesting a less aggressive approach to tightening monetary policy, but still implies a future return to the target, which is a hawkish stance."
1,"In spite of having such slow growth, disappointing productivity growth, we have a labor market that last year generated an average of about 230,000 jobs a month and so far this year has been generating about 180,000 jobs a month.","DOVISH
The sentence emphasizes slow growth and disappointing productivity but acknowledges strong job creation, suggesting a potential inclination towards easing monetary policy to support the labor market."
2,"And we’ve talked about the effects on asset prices,","NEUTRAL

The sentence does not provide enough context to indicate a clear direction towards tightening or easing monetary policy; it merely mentions a discussion about the effects on asset prices."
2,"But I do think that—and I do think also that unemployment insurance benefits will run out in September, so to the extent that’s a factor, which is not clear, it will no longer be a factor fairly soon.","NEUTRAL

The sentence discusses expectations regarding unemployment insurance benefits without directly indicating a clear stance on monetary policy adjustments."
2,"So you’re talking about the inflation target, basically.","NEUTRAL

The sentence is a clarification question about the topic of discussion (inflation target) and does not indicate a policy direction."
2,"We have a much more resilient, stronger banking system, and we’re not seeing some worrisome buildup in leverage or credit growth at successive levels.1 So, you know, this is something that the FOMC pays attention to,","NEUTRAL

The sentence indicates confidence in the banking system's resilience and lack of concerning credit trends, which does not directly suggest an imminent change in monetary policy."
1,"To do that you've got to have price stability, and we've got to get back to price stability so that we can have a labor market where people's wages aren't being eaten up by inflation and where we can have a long expansion too.","HAWKISH
The sentence emphasizes the need to achieve price stability and suggests a commitment to combating inflation, which typically involves tightening monetary policy."
1,"It was to do with, you know, strong monetary policy and fiscal stimulus into an economy that was recovering rapidly, and in which there were these supply-side barriers which effectively led to, you know, in certain parts of the economy, what you might call a vertical supply curve.","HAWKISH
The sentence suggests that strong monetary policy and fiscal stimulus were applied to a rapidly recovering economy with supply-side barriers, implying a context where tightening measures might be necessary to address potential overheating or inflationary pressures."
2,"What they have had is low unemployment, lots of social problems.","NEUTRAL

The sentence discusses unemployment and social problems without indicating a clear direction for monetary policy."
1,And—but inflation expectations did not move strongly down here in the United States.,"NEUTRAL

The sentence indicates a status report on inflation expectations without suggesting a clear direction for monetary policy tightening or easing."
0,"But many other commodity prices have fallen further, and the reason I would give for that is that the emerging markets—China, the rest of Asia, and some other parts of the world—plus Europe, of course, are softer, and so global commodity demand is weaker.","DOVISH

The sentence suggests that commodity prices are falling due to weaker global demand, which implies economic softness that could lead to a more accommodative monetary policy stance."
0,"We, frankly, didn’t even get inflation back up to target—without seeing wages getting out of touch with—with where they should be, so that’s the—that’s the biggest thing we can do.","DOVISH
The sentence suggests a concern for not achieving inflation targets and a lack of wage pressure, which implies a stance towards potentially easier monetary policy to stimulate inflation and economic activity."
0,I think that keeping interest rates low is still appropriate for our economy.,"DOVISH
The sentence suggests a preference for maintaining low interest rates, which is typically associated with an easing monetary policy stance."
1,And so you’re seeing prices are moving back up off their lows there.,"NEUTRAL

The sentence merely observes a movement in prices without indicating a clear direction for monetary policy."
2,And that’s because of this misalignment between supply and demand.,"NEUTRAL

The sentence merely acknowledges a situation (misalignment between supply and demand) without indicating a clear direction for monetary policy."
2,"You know, monetary policy is a forward-looking exercise, and I’m going to—I’m just going to stick with that.","NEUTRAL

The sentence expresses a general principle of monetary policy without indicating a specific direction of policy change."
2,"And so what that means is the Federal Reserve cannot add monetary accommodation by cutting short-term interest rates, the usual approach.","HAWKISH
The sentence implies a limitation on the Federal Reserve's ability to ease monetary policy through rate cuts, suggesting a context where easing is not being considered, which is typically associated with a hawkish stance."
2,"So you’re right, you’re seeing—I, I can’t remember the number, but it might be in the 3s—3, 3½ percent growth for next year.","NEUTRAL

The sentence reflects an expectation or observation of economic growth but does not directly indicate a stance on monetary policy tightening or easing."
2,"In coming months, as those earlier declines drop out of the calculation, inflation should move up closer to 2 percent and stabilize around that level over the medium term.","NEUTRAL
The sentence predicts inflation moving towards a target level, which suggests neither an immediate tightening nor easing of monetary policy, but rather an expectation of stability."
2,It would consist of inflation plus—plus productivity growth.,"NEUTRAL

The sentence refers to a formula or concept that includes inflation and productivity growth, but does not directly indicate a stance on monetary policy tightening or easing."
1,"And, as I think all of us—having that expectation and that if the economy continued to progress along the lines that we expected and we continued to see the risks as balanced—do regard it as appropriate to gradually remove accommodation that’s in place by having several interest rate increases this year.","HAWKISH
The sentence indicates a plan to gradually remove monetary accommodation by increasing interest rates, which is consistent with a tightening of monetary policy."
1,"In the near term, 12-month measures of PCE inflation are expected to move above 2 percent as the very low readings from early in the pandemic fall out of the calculation and past increases in oil prices pass through to consumer energy prices.","HAWKISH
The sentence suggests inflation is expected to rise above the target, which may imply a need for tightening monetary policy to control inflation."
