true_label,original_sent,text_output
2,"In the circumstances, most members endorsed a proposal to delete as no longer necessary the previous summary statement relating to the risks to growth and inflation taken together.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of the monetary policy. It simply states that most members agreed to remove a previous summary statement that was no longer necessary."
0,"In their discussion of considerations related to asset purchases, various participants noted that these purchases were an important part of the monetary policy toolkit and a critical aspect of the Federal Reserve's response to the economic effects of the pandemic, supporting smooth financial market functioning and accommodative financial conditions, which aided the flow of credit to households and businesses and supported the recovery.","NEUTRAL
The sentence describes the importance of asset purchases as part of the monetary policy toolkit and the Federal Reserve's response to the economic effects of the pandemic. It emphasizes the role of these purchases in supporting smooth financial market functioning, accommodative financial conditions, and the flow of credit to households and businesses. The overall tone is neutral, as it does not explicitly advocate for tightening or easing of the monetary policy."
2,"Share prices of financial firms fell especially sharply, reportedly a reflection, in part, of concerns about exposures to subprime mortgages and about the effect of a potential slowdown in merger activity on operating profits.","DOVISH
The sentence indicates concerns about the negative impact of subprime mortgages and a potential slowdown in merger activity on financial firms' operating profits. This suggests a need for monetary policy easing to support the financial sector and stimulate economic growth."
2,Participants commented on the continued improvement in labor market conditions in recent months driven by strong demand for workers.,"DOVISH
The sentence indicates a positive trend in the labor market conditions, driven by strong demand for workers. This suggests that the participants are observing an improvement in the economy, which could potentially lead to a more accommodative monetary policy stance, hence classified as 'DOVISH'."
1,"Looking ahead, however, members reiterated earlier concerns that aggregate demand could continue to grow faster than potential aggregate supply, even under optimistic assumptions regarding future productivity gains.","DOVISH
The sentence suggests that members are concerned about the possibility of aggregate demand growing faster than potential aggregate supply, even under optimistic assumptions. This indicates a need for potential easing of the monetary policy to prevent an imbalance between demand and supply."
2,"That sentiment was apparently reinforced over the remainder of the period by the comments of several Federal Reserve officials and the release of the August employment report, which seemed to convey the view that the economy was emerging from its ""soft patch. ""","DOVISH
The sentence suggests that the sentiment was reinforced by the comments of Federal Reserve officials and the release of the August employment report, indicating that the economy was emerging from a ""soft patch."" This implies a positive outlook and a potential easing of the monetary policy."
0,Market-based measures of inflation compensation have declined somewhat; survey-based measures of longer-term inflation expectations have remained stable.,"NEUTRAL
The sentence indicates that market-based measures of inflation compensation have decreased, while survey-based measures of longer-term inflation expectations have stayed steady. This suggests a mixed or neutral stance on monetary policy as there are both positive and negative indicators."
0,"The Committee expects that, with appropriate policy accommodation, economic activity will expand at a moderate pace, with labor market indicators continuing to move toward levels the Committee judges consistent with its dual mandate.","NEUTRAL
The sentence suggests a neutral stance as it states that economic activity will expand at a moderate pace, with labor market indicators moving towards levels consistent with the Committee's dual mandate. There is no explicit mention of tightening or easing of the monetary policy."
0,Members expected to maintain an accommodative stance of monetary policy until those outcomes were achieved.,"DOVISH
The sentence suggests that the members are expected to maintain an accommodative stance of monetary policy until certain outcomes are achieved. This indicates a willingness to ease the monetary policy, which aligns with a dovish stance."
1,"In the Committee's discussion of possible adjustments to policy during the intermeeting period, members agreed that the retention of an asymmetric directive toward tightening was consistent with their view that the risks remained biased toward higher inflation.","HAWKISH
The sentence suggests a tightening of the monetary policy as the Committee agrees on retaining an asymmetric directive toward tightening, indicating their view that the risks are biased toward higher inflation."
2,"While bank lending continues to contract, financial market conditions remain supportive of economic growth.","NEUTRAL
The sentence indicates that although bank lending is decreasing, financial market conditions are still favorable for economic growth. This suggests a neutral stance as it does not explicitly lean towards tightening or easing of monetary policy."
1,"At longer maturities, yields drifted lower over most of the intermeeting period in response to incoming data that suggested economic growth would remain moderate and inflation subdued, but they rebounded late in the period in response to the release of firmer economic data and growing concerns regarding the sustainability of current domestic asset prices.","DOVISH

The sentence suggests that yields initially decreased due to data indicating moderate economic growth and low inflation. However, they later increased due to stronger economic data and concerns about the sustainability of domestic asset prices. This indicates a dovish stance as it implies a potential need for easing monetary policy to support economic growth and asset prices."
0,"Market-based measures of inflation compensation remained low; most survey-based measures of longer-term inflation expectations were little changed, on balance, in recent months.","NEUTRAL
The sentence indicates that both market-based measures of inflation compensation and survey-based measures of longer-term inflation expectations have not shown significant changes in recent months. This suggests a neutral stance as there is no clear indication of either tightening or easing of monetary policy."
0,"They remarked that a stronger dollar, weaker demand, and lower oil prices were factors likely to put downward pressure on inflation in the period ahead and observed that this meant that the return of inflation to the Committee's 2 percent longer-run objective would likely be further delayed.","DOVISH
The sentence suggests that there are factors such as a stronger dollar, weaker demand, and lower oil prices that are likely to put downward pressure on inflation. It also mentions that this would further delay the return of inflation to the Committee's 2 percent longer-run objective. This indicates a dovish stance, as it implies a need for monetary policy easing to stimulate inflation."
0,"They noted that economic activity and employment had continued to recover but remained well below their levels at the beginning of the year, and that weaker demand and earlier declines in oil prices had been holding down consumer price inflation.","DOVISH
The sentence indicates that economic activity and employment have been recovering but are still below their levels at the beginning of the year. Additionally, it mentions that weaker demand and earlier declines in oil prices have been suppressing consumer price inflation. This suggests a need for monetary policy easing to stimulate economic growth and increase inflation."
1,"At the same time, business firms generally were not raising their prices sufficiently to compensate for faster increases in their labor costs, to the extent that the latter were occurring, evidently because of the persistence of intense competition in most markets.","NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of monetary policy. It discusses the behavior of business firms in relation to their prices and labor costs, suggesting that the stance is neutral."
0,"In the household sector, mortgage debt increased at its lowest pace since the late 1990s, reflecting the continued deceleration in house prices.","DOVISH
The sentence indicates that mortgage debt increased at a slow pace, which suggests a slowdown in the housing market. This implies a need for easing of the monetary policy to stimulate economic growth."
2,The civilian unemployment rate was 4.,"NEUTRAL
This sentence does not provide any indication or stance towards tightening or easing of monetary policy. It simply states a factual information about the civilian unemployment rate."
0,"However, other participants noted that the continued subdued trend in wages was evidence of an absence of upward pressure on inflation from the current level of resource utilization.","DOVISH
The sentence suggests that there is an absence of upward pressure on inflation, indicating a potential easing of the monetary policy."
2,"Much of the current spending for equipment and software reportedly represented replacement demand largely associated with the short useful lives of various types of equipment, and there appeared to be little spending that would entail capital deepening.","NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of monetary policy. It simply describes the current spending for equipment and software, stating that it is mainly driven by the need for replacement due to short useful lives of equipment, and there is little spending that would involve capital deepening."
2,"The staff forecast prepared for this meeting continued to suggest that the expansion would gradually moderate from its currently elevated pace to a rate around, or perhaps a little below, the growth of the economy's estimated potential.","DOVISH
The sentence suggests that the expansion of the economy is expected to gradually slow down, indicating a potential easing of the monetary policy to support economic growth."
0,"A surge in nonfarm business inventory investment accounted for a substantial portion of the acceleration in output in the first quarter, and an anticipated moderation in the accumulation of inventories was an important element in forecasts of greatly reduced economic growth in the current quarter.","NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of monetary policy. It discusses the impact of nonfarm business inventory investment on output and forecasts of reduced economic growth, but does not explicitly suggest a specific policy direction."
2,"Incoming data suggested that, after a weak start to the year, foreign economic activity accelerated in the second quarter.","NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of monetary policy. It simply states that foreign economic activity accelerated in the second quarter after a weak start to the year."
0,Labor cost increases had not turned up and core inflation continued to edge lower.,"DOVISH
The sentence indicates that labor cost increases have not occurred and core inflation is decreasing. This suggests a need for easing of the monetary policy to stimulate economic growth and increase inflation."
0,"Indeed, the proposed reduction in the nominal federal funds rate would about offset the apparent increase in the real federal funds rate stemming from a recent decline in inflation.","DOVISH
The sentence suggests that there is a proposed reduction in the nominal federal funds rate to offset the increase in the real federal funds rate caused by a decline in inflation. This indicates a dovish stance, as it implies an intention to ease monetary policy to stimulate the economy."
0,"Many expected those conditions to be met later this year, although several members were concerned about downside risks to the outlook for real activity and inflation.","DOVISH
The sentence indicates that several members are concerned about downside risks to the outlook for real activity and inflation, suggesting a cautious approach towards monetary policy."
0,"Nonetheless, the risks to the forecast for real GDP growth were viewed as tilted a little to the downside, especially because the economy was not well positioned to withstand adverse shocks while the target for the federal funds rate was at its effective lower bound.","DOVISH
The sentence suggests a dovish stance as it mentions that the risks to the forecast for real GDP growth were viewed as tilted to the downside. Additionally, it highlights that the economy was not well positioned to withstand adverse shocks while the target for the federal funds rate was at its effective lower bound, indicating a need for easing of the monetary policy."
2,"The slower growth of final spending resulted in inventory overhangs in a number of industries, most notably those related to the motor vehicle sector.","DOVISH
The sentence indicates that there is slower growth of final spending, resulting in inventory overhangs in certain industries, particularly those related to the motor vehicle sector. This suggests a need for easing of the monetary policy to stimulate economic activity and address the inventory overhangs."
0,"Compared with the baseline, the disruption to economic activity was more severe and protracted in this scenario, with real GDP and inflation lower and the unemployment rate higher by the end of the medium-term projection.","DOVISH
The sentence indicates that the disruption to economic activity was more severe and prolonged, resulting in lower real GDP and inflation, as well as a higher unemployment rate. This suggests a need for easing of the monetary policy to stimulate economic growth and reduce unemployment."
2,"Given the substantial uncertainty still attached to projections of money growth consistent with the Committee's basic objectives for monetary policy, the members agreed that there was no firm basis for changing the tentative ranges set in July 1996.","NEUTRAL
The sentence indicates that there is substantial uncertainty regarding projections of money growth, and therefore, the members agreed that there was no firm basis for changing the tentative ranges set in July 1996. This suggests a neutral stance as there is no indication of tightening or easing of the monetary policy."
2,"Total nonfarm payroll employment rose solidly in July and August, with strong gains in private-sector jobs and declines in government employment.","NEUTRAL
The sentence provides a factual description of the employment situation without indicating a clear stance towards tightening or easing of monetary policy."
0,"Nonetheless, with rising productivity and moderate wage gains likely continuing to help hold down unit labor costs, the outlook for subdued inflation remained promising, especially for the nearer term.","DOVISH
The sentence suggests that there are factors such as rising productivity and moderate wage gains that are likely to help keep unit labor costs low, which in turn indicates a promising outlook for subdued inflation. This implies a stance of easing or accommodative monetary policy."
1,More information might provide a better sense of how the higher interest rates were affecting aggregate demand and perhaps also help--to a small degree--to shed light on the considerable uncertainties surrounding the relationship of output to inflation.,"DOVISH
The sentence suggests that more information is needed to understand the impact of higher interest rates on aggregate demand and the relationship between output and inflation. This implies a cautious and potentially supportive stance towards easing monetary policy."
0,"Real GDP was forecast to decline and the unemployment rate to rise, on net, in the first half of this year.","DOVISH
The sentence suggests a dovish stance as it indicates a forecast of a decline in real GDP and a rise in the unemployment rate, which implies a need for easing of the monetary policy to stimulate economic growth and reduce unemployment."
0,"While accommodative financial conditions and reduced income tax rates should continue to undergird consumer spending and the data on retail sales for July displayed relatively impressive gains, negative wealth effects from falling stock market prices, declining payrolls, and sluggish income gains--should they persist--might well depress consumer expenditures over coming months.","DOVISH
The sentence suggests that there are potential negative factors that could depress consumer expenditures in the future, such as falling stock market prices, declining payrolls, and sluggish income gains. This indicates a concern for the state of the economy and a potential need for easing of monetary policy to stimulate consumer spending."
1,Any such rise in inflation expectations and associated upward pressure on inflation itself would likely prove costly to reverse.,"HAWKISH
The sentence suggests that any increase in inflation expectations and the resulting upward pressure on inflation would be difficult to reverse, indicating a concern about rising inflation. This aligns with a tightening of monetary policy to control inflation."
2,"Stock prices in the basic materials and industrial sectors underperformed the broader market, reportedly reflecting an increase in trade tensions with China.","DOVISH
The sentence indicates that stock prices in certain sectors underperformed, which suggests a negative economic outlook. This could potentially lead to an easing of monetary policy to stimulate the economy."
0,"Both total and core inflation were projected to move up slightly next year, as the low readings early this year were expected to be transitory, but nevertheless to continue to run below 2 percent.","DOVISH
The sentence suggests that both total and core inflation are expected to increase slightly next year, indicating a potential easing of the monetary policy. This is because the low inflation readings earlier in the year were considered temporary, but are still projected to remain below the target of 2 percent."
0,"Nearly all measures of total and core prices had decelerated over the past year, and in the context of forecasts implying a continued sizable gap between actual and potential output, the risk that inflationary pressures would intensify significantly over coming quarters appeared to be quite limited; indeed, inflation might edge a bit lower in the early stages of the expansion.","DOVISH
The sentence suggests that measures of total and core prices have been decelerating and there is a sizable gap between actual and potential output. It also states that the risk of inflationary pressures intensifying significantly in the coming quarters is quite limited and inflation might even edge lower in the early stages of the expansion. This indicates a dovish stance, as it implies a potential easing of monetary policy to stimulate the economy."
2,"Although the required amount of cumulative tightening may have increased, members noted that an accelerated pace of policy tightening did not appear necessary at this time, as a degree of economic slack apparently remained, productivity growth would probably continue to damp increases in unit labor costs and prices, and inflation would most likely continue to be contained.","DOVISH
The sentence suggests that an accelerated pace of policy tightening is not necessary at the moment. It mentions that there is still economic slack, productivity growth is expected to dampen labor costs and prices, and inflation is likely to remain contained. These factors indicate a dovish stance, as it implies a preference for easing or maintaining the current monetary policy."
1,"While the absence of increasing price inflation was a welcome development, members were concerned that the break with historical patterns might not persist.","DOVISH
The sentence suggests that members of the FOMC were concerned about the possibility of the break with historical patterns of increasing price inflation not persisting. This indicates a cautious approach towards monetary policy, implying a potential easing or continuation of current policy rather than tightening."
1,"Broad equity price indexes decreased slightly, on net, as substantial early gains arising from investors' improved perceptions about the inflation outlook and better-than-feared second-quarter earnings were more than offset by later losses arising from expectations that the Committee would follow a more restrictive policy than previously expected.","Label: HAWKISH

Explanation: The sentence indicates that broad equity price indexes decreased slightly due to later losses arising from expectations of a more restrictive policy by the Committee. This suggests a tightening of the monetary policy, which aligns with a hawkish stance."
2,Participants also generally agreed that the recent data had not led them to significantly change their outlooks for the most likely rates of economic growth and inflation in coming quarters.,"NEUTRAL
The sentence indicates that the participants did not make significant changes to their outlooks for economic growth and inflation, suggesting a neutral stance on monetary policy."
1,"The pace of inventory liquidation was thought likely to moderate in coming quarters and subsequently turn to accumulation as inventories came into better balance with sales, with increasingly positive implications for overall production and economic activity.","DOVISH
The sentence suggests that the pace of inventory liquidation is expected to slow down and eventually turn into accumulation. This indicates a more accommodative stance towards the monetary policy, as it implies a potential increase in overall production and economic activity."
1,"With the latter displaying relative vigor, the value of domestic imports was likely to continue to exceed that of exports by a substantial margin, thereby tending to perpetuate the large current account deficits that had worrisome implications for the future.","DOVISH
The sentence suggests that the value of domestic imports is likely to continue to exceed that of exports by a substantial margin, which implies a trade deficit. This perpetuation of large current account deficits is seen as worrisome for the future. This dovish stance indicates a need for easing of the monetary policy to address the trade deficit and its implications."
1,"Nonfarm payroll employment increased sharply further in January and February, and the civilian unemployment rate, at 4.","Label: NEUTRAL
Explanation: The sentence provides information about the nonfarm payroll employment increasing sharply in January and February, and mentions the civilian unemployment rate at 4%. However, it does not indicate a clear stance towards tightening or easing of monetary policy. Therefore, the sentence is classified as neutral."
