true_label,original_sent,text_output
2,"One of the things we’ve learned from our financial crisis and from a series of financial crises in history and around the globe is that, very commonly, when the economy takes a hit and falls into a recession, that productivity doesn’t pick up to pre-recession levels and that there looks like there is a permanent hit to the path of potential output for the economy, which is called “hysteresis.” And I raised the question as to whether or not this might operate in the opposite direction as well.","DOVISH

The sentence suggests that the speaker is discussing the long-term negative effects of a recession on the economy's potential output, indicating a concern for economic weakness. This dovish stance implies a willingness to consider easing monetary policy to stimulate economic growth."
2,"But in terms of just targeting growth, you know, I think—I actually think our dual mandate works very well, which is maximum employment and stable prices.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of monetary policy. It simply states that the dual mandate of maximum employment and stable prices works well in terms of targeting growth."
0,"Moreover, in light of the anticipated modest pace of economic recovery, the Committee expects that over coming quarters the unemployment rate will decline only gradually toward its mandate-consistent levels.","DOVISH
The sentence suggests a dovish stance as it indicates that the Committee expects the unemployment rate to decline only gradually, implying a need for continued monetary policy support to stimulate economic recovery."
0,"Core inflation, which excludes energy and food prices, has been running close to 1½ percent.","NEUTRAL
The sentence provides a factual statement about core inflation, without indicating any specific stance towards tightening or easing of monetary policy."
1,The economy is continuing to make progress toward the FOMC’s objective of maximum sustainable employment.,"NEUTRAL
The sentence indicates that the economy is making progress towards the FOMC's objective of maximum sustainable employment, without explicitly mentioning any tightening or easing of the monetary policy. Therefore, the stance is considered neutral."
0,"I expect that to continue, and I would expect also to see some improvement in the degree of part-time employment that’s for economic reasons.","DOVISH
The sentence suggests that the speaker expects to see an improvement in part-time employment for economic reasons. This indicates a potential need for easing of the monetary policy to stimulate economic growth and job creation."
2,And I fully expect it will return to solid growth and a solid labor market as well.,"NEUTRAL
The sentence does not indicate a specific stance towards tightening or easing of monetary policy. It simply expresses an expectation of solid growth and a solid labor market, without indicating any preference for a particular policy direction."
0,I think that keeping interest rates low is still appropriate for our economy.,"DOVISH
The sentence suggests a preference for keeping interest rates low, which indicates a stance towards easing monetary policy to support the economy."
2,"You know, monetary policy is a forward-looking exercise, and I’m going to—I’m just going to stick with that.","NEUTRAL
The sentence does not indicate a specific stance towards tightening or easing of monetary policy. It suggests a preference to maintain a forward-looking approach without expressing a clear bias towards either tightening or easing."
0,"The entire Committee is committed to achieving our 2 percent inflation objective over the December 16, 2015 medium term, just as we want to make sure that inflation doesn’t persist at levels above our Chair Yellen’s Press Conference FINAL 2 percent objective.","NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of the monetary policy. It simply states the Committee's commitment to achieving the 2 percent inflation objective."
0,"And as I mentioned earlier, the unemployment decline last month was more than 100 percent accounted for by declines in participation.","NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of monetary policy. It simply provides an explanation regarding the decline in unemployment, attributing it to declines in participation."
1,"Admittedly, some of the wage increases is being eaten away by inflation.","DOVISH
The sentence suggests that the wage increases are being eroded by inflation, indicating a need for monetary policy easing to combat the negative effects of inflation on wages."
2,I’m old enough to remember what very high inflation was like.,"DOVISH
The sentence suggests a dovish stance as the speaker refers to their personal experience with high inflation, indicating a preference for avoiding or mitigating such a situation."
1,"It was to do with, you know, strong monetary policy and fiscal stimulus into an economy that was recovering rapidly, and in which there were these supply-side barriers which effectively led to, you know, in certain parts of the economy, what you might call a vertical supply curve.","Label: HAWKISH

Explanation: The sentence suggests that there was a strong monetary policy and fiscal stimulus implemented in an economy that was recovering rapidly. Additionally, it mentions the presence of supply-side barriers that led to a vertical supply curve in certain parts of the economy. These factors indicate a tightening of the monetary policy, which aligns with a hawkish stance."
0,"In real terms, with a 2 percent inflation objective—that’s 1 percent in real terms.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of the monetary policy. It simply states a fact about the inflation objective without expressing any preference or direction."
2,"So, as I mentioned, we’re going to be looking at all of those things: activity, labor market, inflation.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of the monetary policy. It simply states that the speaker will be examining various factors such as activity, labor market, and inflation."
2,We continue to discuss whether or not the unemployment rate itself is an adequate measure of how much underutilization of labor resources there really is.,"NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of the monetary policy. It simply states that there is an ongoing discussion about the adequacy of the unemployment rate as a measure of labor resource underutilization."
1,"But to the extent that continues to be the case, that should make it easier to restore price stability.","DOVISH
The sentence suggests that it should be easier to restore price stability, indicating a potential easing of the monetary policy."
0,"You know, it says that we will seek to—seek inflation that runs moderately above 2 percent for some time.","DOVISH
The sentence suggests a dovish stance as it indicates a willingness to seek inflation that runs moderately above 2 percent for some time. This implies a preference for easing monetary policy to stimulate economic growth."
2,"We’re also, as part of our review, looking at potential innovations, changes to the way we think about things, changes to the framework that would lead us—that would be more supportive of achieving inflation on a 2 percent—on a symmetric 2 percent basis over time.","DOVISH

The sentence suggests that the speaker is considering potential innovations and changes to the framework in order to achieve inflation on a symmetric 2 percent basis over time. This indicates a willingness to ease the monetary policy and suggests a dovish stance."
2,"And we’ve talked about the effects on asset prices,","NEUTRAL
The sentence does not indicate a clear stance on monetary policy. It mentions discussing the effects on asset prices, but does not provide any indication of whether this discussion leans towards tightening or easing of the policy."
1,"In other cases, it’s pretty clear that inflation has spread more broadly across services.","DOVISH
The sentence suggests that inflation has spread across services, indicating a need for easing of the monetary policy to stimulate economic growth and control inflation."
1,It isn’t the kind of inflation that’s spread broadly across the economy.,"NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of monetary policy. It simply describes the nature of inflation, stating that it is not widespread throughout the economy."
0,"Of course, we can’t do anything about long-run employment opportunities, but we can help the economy recover more quickly.","DOVISH
The sentence suggests a dovish stance as it implies a willingness to take action to help the economy recover more quickly, which typically involves easing monetary policy."
0,"And I can only say qualitatively that the Committee will continue to look at the evolution of the outlook, try to assess whether unemployment is making sufficient progress towards our objectives, and, in particular, whether the recovery is still continuing.","NEUTRAL
The sentence indicates that the Committee will continue to monitor the outlook and assess the progress of unemployment towards their objectives, as well as the ongoing recovery. It does not explicitly suggest a hawkish or dovish stance, hence it is classified as neutral."
0,"Well, that’s—what’s happening there is the fact that the relationship between resource utilization, or unemployment, and inflation has just gotten weaker and weaker over the years.","DOVISH
The sentence suggests that the relationship between resource utilization, or unemployment, and inflation has weakened over the years. This implies that there is less pressure for tightening monetary policy and more room for easing, indicating a dovish stance."
0,"I don’t think we look at—I understand what you’re asking, but we’re looking at—our mandate is price inflation and maximum employment, and that’s what we’re looking at with setting interest rates.","NEUTRAL
The sentence indicates a neutral stance as it emphasizes the central bank's focus on price inflation and maximum employment when setting interest rates, without explicitly mentioning any intention to tighten or ease monetary policy."
