true_label,original_sent,text_output
2,"Nonetheless, if the influence of globalization on inflation is as substantial as many claim, we might have expected the standard model to have had difficulty in predicting recent inflation trends.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of monetary policy. It discusses the potential influence of globalization on inflation and suggests that the standard model may have difficulty predicting recent inflation trends."
1,"To see this, suppose that a speculative bubble has emerged and that a central bank, operating under a conventional strategy, has raised interest rates to keep the projected output gap closed and expected inflation at its desired level before the bubble bursts.","HAWKISH
The sentence suggests that the central bank has raised interest rates to prevent the speculative bubble from bursting. This indicates a tightening of the monetary policy, which aligns with a hawkish stance."
2,"However, in this framework, the current period appears to be an outlier.4 That is, even after factoring in the current-cycle dynamics of strong profit growth and relatively modest investment, a good part of the rise in liquid assets remains unaccounted for--as much as one half of the total rise in cash-to-assets--according to Federal Reserve staff estimates.","NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of monetary policy. It discusses the current period as an outlier and highlights that a significant portion of the rise in liquid assets remains unaccounted for, based on Federal Reserve staff estimates."
0,"Given the difficulty in assigning productivity increases by industry, there is a dispute on how widely productivity implicit in the information revolution has spread across the economy.","NEUTRAL
The sentence does not indicate a clear stance on monetary policy. It discusses a dispute regarding the spread of productivity in the economy, which does not directly relate to tightening or easing of monetary policy."
1,"Expectations of price increases over the near-term--specifically, over the next year--have, in fact, risen noticeably on the heels of the actual increase in inflation.","DOVISH
The sentence suggests that there are expectations of price increases in the near-term, which implies a need for easing of the monetary policy to counteract inflation."
2,"In that regard, the changes in the macroeconomic environment that underlie our monetary policy review may have some implications for financial stability.","NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of monetary policy. It suggests that changes in the macroeconomic environment may have implications for financial stability, without explicitly leaning towards either tightening or easing."
2,"Indeed, how will we measure inflation, and the associated financial market implications, in the twenty-first century when our data--using current techniques--could become increasingly less adequate to trace price trends over time?","DOVISH
The sentence expresses concern about the adequacy of current data techniques to measure inflation and its implications in the future. This suggests a cautious and potentially accommodative stance towards monetary policy, indicating a dovish sentiment."
1,"Even with generous allowances for structural change, labor utilization would seem to be at a level that might eventually begin to put persistent and growing pressure on labor costs and prices.","HAWKISH
The sentence suggests that labor utilization is at a level that could potentially lead to increasing pressure on labor costs and prices. This implies a concern about inflationary pressures, which aligns with a hawkish stance of tightening monetary policy to control inflation."
2,This role is largely a reflection of the New York Fed's responsibility for implementing monetary policy decisions through its open market desk operations.,"NEUTRAL
The sentence describes the role of the New York Fed in implementing monetary policy decisions, without indicating any specific stance towards tightening or easing of the policy."
2,"In both of the examples I have just discussed, the medium-frequency evolution of market-based, survey-based, and model-based estimates of r* and expected inflation have, over time, tended to move broadly together.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of monetary policy. It simply states that the evolution of market-based, survey-based, and model-based estimates of r* and expected inflation have tended to move broadly together over time."
2,"During most of the recent episode, monetary policy broadly followed the Taylor Rule prescription, while holding the nominal federal funds rate about unchanged.","NEUTRAL
The sentence indicates that monetary policy has been following the Taylor Rule prescription, which suggests a neutral stance. Additionally, it mentions that the nominal federal funds rate has remained unchanged, further supporting a neutral classification."
2,"Under this interpretation, the lower line in the bottom panel of Figure 1 is an estimate of market inflation expectations over the next five years, and the upper line represents five-year forward expectations of inflation, that is, today's expectation of what average inflation will be between 2009 and 2014.","NEUTRAL
The sentence does not indicate any specific stance towards tightening or easing of monetary policy. It is providing an explanation of the interpretation of market inflation expectations over a specific time period."
2,"And similar, sometimes even sharper, trajectories of house prices have been witnessed in some economies in which the central banks said they were paying more attention to asset prices.","DOVISH
The sentence suggests that central banks are paying more attention to asset prices, which implies a more cautious and accommodative stance towards monetary policy."
2,The uncertainty about the threshold unemployment rate also suggests a differing degree of intensity in the response of monetary policy to deviations of inflation and output to their respective targets.,"DOVISH
The sentence suggests that there is uncertainty about the threshold unemployment rate, which implies a cautious approach towards tightening monetary policy. This indicates a dovish stance, as it corresponds to easing or maintaining the current monetary policy rather than tightening it."
2,"This outcome would be entirely consistent with the new framework the Federal Reserve unanimously adopted in August 2020 and began to implement at our September 2020 Federal Open Market Committee (FOMC) meeting.2 Recent FOMC Decisions and the New Monetary Policy Framework At FOMC meetings convened since the new framework was announced last August, the Committee made important changes to our policy statement that upgraded our forward guidance about the future path of the federal funds rate and asset purchases to bring it in line with our new framework.","NEUTRAL
The sentence does not indicate any specific stance towards tightening or easing of the monetary policy. It simply states that the outcome mentioned is consistent with the new framework adopted by the Federal Reserve."
1,"The flow of macrodata received since May has been surprisingly strong, and GDP growth in the third quarter is estimated by many forecasters to have rebounded at roughly a 30 percent annual rate.","HAWKISH
The sentence indicates that the flow of macrodata has been surprisingly strong and GDP growth is estimated to have rebounded at a high annual rate. This suggests a positive economic outlook, which aligns with a tightening of the monetary policy."
1,These decisions can then push up prices even more and make inflation harder to get under control.,"HAWKISH
The sentence suggests that the decisions mentioned can lead to an increase in prices and make it more difficult to control inflation. This implies a concern about rising inflation, which aligns with a tightening of monetary policy."
1,"To this end, the new statement conveys the Committee's judgment that, in order to anchor expectations at the 2 percent level consistent with price stability, it ""seeks to achieve inflation that averages 2 percent over time,"" andâ€”in the same sentenceâ€”that therefore ""following periods when inflation has been running persistently below 2 percent, appropriate monetary policy will likely aim to achieve inflation moderately above 2 percent for some time.""","DOVISH
The sentence suggests that the Committee aims to achieve inflation moderately above 2 percent for some time after periods of persistently low inflation. This indicates a willingness to ease the monetary policy in order to stimulate inflation, which is a dovish stance."
2,"However, nothing prevents a central bank from switching its focus from the price of reserves to the quantity or growth of reserves.","NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of monetary policy. It simply states that a central bank has the ability to shift its focus from the price of reserves to the quantity or growth of reserves, without expressing a preference for either tightening or easing."
1,Consider a price increase for a breakfast cereal that increases the prices of both the brand-name cereal and the corresponding lower-priced store-brand cereal but maintains a differential between them.,"NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of monetary policy. It discusses a price increase for a breakfast cereal, which is unrelated to monetary policy."
0,"The prices of their exports are lower than they would be if market forces were given greater scope in foreign exchange markets, and they are supplying more goods and services to the rest of the world than they themselves are demanding.","DOVISH
The sentence suggests that the country's exports are facing lower prices due to limited scope in foreign exchange markets. Additionally, the country is supplying more goods and services to the rest of the world than it is demanding. This indicates a situation where the country may benefit from easing monetary policy to stimulate domestic demand and potentially weaken the currency to boost exports."
1,"Waiting too long to begin moving toward the neutral rate could risk a nasty surprise down the road--either too much inflation, financial instability, or both.","HAWKISH
The sentence suggests that waiting too long to start moving towards the neutral rate could lead to negative consequences such as excessive inflation or financial instability. This implies a concern about the potential risks associated with delaying the tightening of monetary policy."
2,"Despite the prevalence and importance of committees in modern central banking, the role of committees in the formulation of policy has not attracted nearly as much academic attention as has the research on monetary policy rules.3 The literature on monetary policy rules stretches back to at least Adam Smith and includes important contributions from David Ricardo, Knut Wicksell, and Milton Friedman.More recently, John Taylor has moved the research agenda forward with his eponymous rule, and a large number of academic papers have been written examining the effectiveness and robustness of policy rules.4 In contrast, as noted, study of the role of committees in making monetary policy has been fairly light, notwithstanding the insightful work of Alan Blinder and others.5 Committees and rules may appear to be in opposition as approaches to policymaking.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of monetary policy. It discusses the prevalence and importance of committees in central banking and the lack of academic attention on the role of committees in policy formulation, contrasting it with the extensive research on monetary policy rules. It also mentions that committees and rules may seem to be opposing approaches to policymaking. Overall, the sentence does not express a hawkish or dovish stance."
1,Market-based measures of inflation compensation have also picked up.,"HAWKISH
The sentence indicates that market-based measures of inflation compensation have increased, which suggests a potential tightening of monetary policy."
2,"For equities, a stock's price-earnings ratio is a standard benchmark for assessing valuation.","NEUTRAL
The sentence does not provide any indication or stance towards tightening or easing of monetary policy. It simply states a standard benchmark for assessing valuation in equities."
1,"The Federal Reserve then sets its policy to achieve the broad objectives assigned to it, specifically, price stability and full employment.","NEUTRAL
The sentence states that the Federal Reserve sets its policy to achieve price stability and full employment, without indicating any specific inclination towards tightening or easing of the monetary policy."
2,A soft labor market will keep a lid on the growth in the cost of employing workers.,"DOVISH
The sentence suggests that there is a soft labor market, which implies a lack of demand for workers. This would likely lead to a decrease in the cost of employing workers, indicating an easing of monetary policy to stimulate economic growth."
2,"Moreover, investing in EMEs has become more attractive as many EMEs have improved their macroeconomic policies and institutional frameworks over recent decades; growth differentials may partly be reflecting these improvements.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of monetary policy. It discusses the attractiveness of investing in emerging market economies (EMEs) due to their improved macroeconomic policies and institutional frameworks, suggesting that growth differentials may be influenced by these improvements. However, it does not explicitly advocate for tightening or easing of monetary policy."
2,"Fortunately, as we make monetary policy we have the advantage of several forecasts.","NEUTRAL
The sentence does not indicate a specific stance towards tightening or easing of monetary policy. It simply states that the advantage of having several forecasts is available when making monetary policy."
0,"To this end, the new statement conveys the Committee's judgment that, in order to anchor expectations at the 2 percent level consistent with price stability, it ""seeks to achieve inflation that averages 2 percent over time,"" andâ€”in the same sentenceâ€”that therefore ""following periods when inflation has been running persistently below 2 percent, appropriate monetary policy will likely aim to achieve inflation moderately above 2 percent for some time.""","DOVISH
The sentence suggests that the Committee aims to achieve inflation moderately above 2 percent for some time after periods of persistently low inflation. This indicates a willingness to ease the monetary policy in order to stimulate inflation, which is a dovish stance."
1,"As we gain experience with the enhanced forecasts, we will continue to evaluate how best to promote stability of both prices and employment.","NEUTRAL
The sentence indicates a neutral stance as it mentions the evaluation of promoting stability of both prices and employment without explicitly leaning towards tightening or easing of the monetary policy."
1,In this case headline inflation will rise well above its underlying trend as the price of energy rises,"Label: NEUTRAL
Explanation: The sentence does not explicitly indicate a stance towards tightening or easing of monetary policy. It discusses the potential rise in headline inflation due to the increase in energy prices, but it does not provide any indication of a specific policy response. Therefore, the stance is considered neutral."
2,"While these studies allow for differences in the weighting of price indexes across different income groups, they rely on the same elementary price indexes for subcategories of goods and services.","NEUTRAL
The sentence does not indicate any specific stance towards tightening or easing of monetary policy. It simply discusses the methodology used in studies related to price indexes and income groups."
0,"Less uncertainty about future inflation could lower the risk premiums on nominal Treasury bonds, lowering the risk-free interest rate.","DOVISH
The sentence suggests that less uncertainty about future inflation could lead to a decrease in risk premiums on nominal Treasury bonds, which in turn would lower the risk-free interest rate. This implies a potential easing of the monetary policy as it indicates a desire to stimulate economic growth by reducing borrowing costs."
2,"Traditionally, these two measures of excess demand move together over the cycle.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of monetary policy. It simply states a traditional observation about the relationship between two measures of excess demand."
2,"But before I comment on productivity, I'd like to begin with a review of recent economic developments.","NEUTRAL
The sentence does not provide any indication or stance towards tightening or easing of monetary policy. It simply states the speaker's intention to start with a review of recent economic developments before commenting on productivity."
2,"When long-term rates rise in response to a cyclical strengthening, it reflects, in large part, the expectation of higher short-term interest rates.","HAWKISH
The sentence suggests that when long-term rates rise due to a cyclical strengthening, it indicates an expectation of higher short-term interest rates. This implies a tightening of the monetary policy, which aligns with a hawkish stance."
2,"How the forces of demand, potential supply, and expectations interact has probably not been changed in any fundamental way by the recent trend of globalization.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of monetary policy. It suggests that the recent trend of globalization has not fundamentally changed the interaction between demand, potential supply, and expectations."
2,"For example, although a number of features of Brazilian law promote the independence of the nation's central bank, the bank's de facto independence may be limited by the power of the president to remove members of the Monetary Policy Committee.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of the monetary policy. It discusses the features of Brazilian law that promote the independence of the central bank but also highlights the potential limitation on its independence due to the president's power to remove committee members."
2,"Eventually, financial markets may develop the instruments and associated analytical techniques for unearthing these implicit changes in the general price level with some precision.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of monetary policy. It discusses the possibility of financial markets developing tools to identify changes in the general price level, without expressing a preference for either tightening or easing."
2,"Venezuela provides one counterexample, with a long-term inflation forecast now of 15 percent.","DOVISH
The sentence indicates that Venezuela has a long-term inflation forecast of 15 percent, which suggests a need for easing of the monetary policy to combat high inflation."
2,"Despite some recent turbulence, owing in part to geopolitical events, stock prices have logged robust gains over the past 3-1/2 years, and broad equity indices have now retraced most of the ground lost between 2000 and 2002.","NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of monetary policy. It provides a factual statement about stock prices and equity indices without expressing a specific opinion or direction."
0,"But, in the interim, the absence of increasing inflation pressures meant that the Federal Reserve did not need to tighten to bring demand back in line with the potential as soon as it otherwise might have needed to.","DOVISH
The sentence suggests that the Federal Reserve did not need to tighten monetary policy due to the absence of increasing inflation pressures. This implies a more accommodative stance, indicating a dovish sentiment."
0,"While a constant rate of money growth will not always be optimal, if money demand is sufficiently stable, and not particularly interest sensitive, it will pin down inflation in the long run and help smooth the business cycle in the short run.","DOVISH
The sentence suggests that a constant rate of money growth can help stabilize inflation in the long run and smooth the business cycle in the short run. This implies a more accommodative stance towards monetary policy, indicating a dovish outlook."
1,"I will then turn to three challenges our dynamic economy is posing for policy at present: First, what would the consequences of a sharp rise in the price of oil be for the U.S. economy?","NEUTRAL
The sentence does not indicate a clear stance towards tightening or easing of monetary policy. It simply states that the speaker will discuss three challenges posed by the dynamic economy."
1,"Of course, if excessive inflationary pressures were to build or inflation expectations were to ratchet above levels consistent with our goal, we would not hesitate to act.","HAWKISH
The sentence suggests a hawkish stance as it indicates a willingness to take action if inflationary pressures or inflation expectations rise above the desired levels. This implies a readiness to tighten monetary policy to control inflation."
2,"Financial markets are the channel through which our policy affects the economy, and asset prices contain valuable information about investors' expectations for the course of policy, economic activity, and inflation, as well as about the risks around those expectations.","NEUTRAL
The sentence does not explicitly indicate a stance towards tightening or easing of monetary policy. It simply states the importance of financial markets and asset prices in providing information about policy, economic activity, inflation, and associated risks."
1,"First, if, as projected, core PCE inflation this year does come in at, or certainly above, 3 percent, I will consider that much more than a ""moderate"" overshoot of our 2 percent longer-run inflation objective.","HAWKISH
The sentence suggests that if core PCE inflation exceeds 3 percent, it would be considered more than a ""moderate"" overshoot of the 2 percent inflation objective. This implies a concern about inflation and a potential need for tightening monetary policy."
2,The FOMC's primary monetary policy tool is its target range for the federal funds rate.,"NEUTRAL
The sentence simply states a fact about the FOMC's primary monetary policy tool, without expressing any stance or opinion on tightening or easing of the monetary policy."
2,"the approach can be applied equally well by ""inflation hawks,"" ""growth hawks,"" and anyone in between.","Label: NEUTRAL
Explanation: The sentence suggests that the approach can be applied by both ""inflation hawks"" and ""growth hawks,"" indicating that it is not favoring one particular stance over the other. Therefore, the sentence is neutral in terms of the monetary policy stance."
0,The Summary of Economic Projections by FOMC participants in December 2020 had the unemployment rate moving down to 4.2 percent at the end of 2022 and inflation moving up to 2 percent only in 2023.,"NEUTRAL
The sentence provides information about the Summary of Economic Projections by FOMC participants in December 2020, stating that the unemployment rate is projected to decrease to 4.2 percent by the end of 2022 and inflation is projected to increase to 2 percent only in 2023. This statement does not indicate a clear bias towards tightening or easing of monetary policy, hence it is classified as NEUTRAL."
2,"There is, to be sure, no trade-off and hence no inconsistency between full employment and price stability in the long run.","NEUTRAL
The sentence states that there is no trade-off or inconsistency between full employment and price stability in the long run, indicating a neutral stance."
1,"But if the economy instead began to overheat, threatening to push inflation to an undesirably high level, the FOMC would have ample scope to respond through tighter monetary policy.","HAWKISH
The sentence suggests that if the economy starts to overheat and inflation becomes a concern, the FOMC would respond by implementing tighter monetary policy. This indicates a stance towards tightening the monetary policy, hence classified as 'HAWKISH'."
2,"We include these types of price terms today in our forecasting equations, and they are important to forming our views of the inflation outlook and thus to the policy process.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of the monetary policy. It simply states that the mentioned price terms are important for forming views on inflation outlook and policy process."
2,"To the extent that the combination of a low neutral rate, a flat Phillips curve, and low underlying inflation may lead financial imbalances to become more tightly linked to the business cycle, it is important to use tools other than monetary policy to temper the financial cycle.","DOVISH
The sentence suggests that it is important to use tools other than monetary policy to temper the financial cycle, indicating a preference for easing the monetary policy to address potential financial imbalances."
1,"Furthermore, policymakers hoped that additional tools at their disposal--so-called incomes policies enforced by “jawboning,” guideposts, and price and wage controls--were ready to combat and control any resulting upcreep in inflation with minimal macroeconomic cost.","DOVISH
The sentence suggests that policymakers are prepared to use additional tools, such as ""jawboning,"" guideposts, and price and wage controls, to combat and control any increase in inflation. This indicates a willingness to ease monetary policy in order to prevent inflation from rising, which is a dovish stance."
2,"Relative to the average episode, commercial real estate prices neither fell much during the recession nor rose a lot during the expansion.","NEUTRAL
The sentence states that commercial real estate prices did not experience significant changes during both the recession and the expansion periods. This indicates a neutral stance as it does not suggest any tightening or easing of monetary policy."
1,Our Congressional mandate is to achieve full employment and price stability in the United States.,"NEUTRAL
The sentence states the Congressional mandate to achieve both full employment and price stability, without indicating a specific stance towards tightening or easing of monetary policy."
2,"And I'm pleased to have the opportunity to share with you, the students of South Dakota State University (SDSU), my experience as a member of the Federal Reserve Board of Governors and my outlook for the U.S. economy.1 Today I will speak to you about my outlook for the U.S. economy and what the Federal Reserve has been doing to support economic activity during the COVID-19 pandemic recovery.","NEUTRAL
The sentence does not provide any indication of a specific stance towards tightening or easing of monetary policy. It simply introduces the speaker's intention to discuss their outlook for the U.S. economy and the actions taken by the Federal Reserve to support economic activity during the COVID-19 pandemic recovery."
2,"We must keep in mind that, difficult as the problem seems, consistently measured prices do exist in principle.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of monetary policy. It simply acknowledges the existence of consistently measured prices."
2,"another is the growing literature on the interaction of learning, inflation dynamics, and monetary policy.","NEUTRAL
The sentence does not indicate a specific stance towards tightening or easing of monetary policy. It simply mentions the existence of a growing literature on the interaction of learning, inflation dynamics, and monetary policy, without expressing a clear bias towards any particular direction."
2,"If a range is selected, questions will arise about the differing implications of movements of inflation inside the range and outside the range and, in the absence of explicitly identifying the mid-point as the target, about where within the range policymakers would prefer inflation to gravitate.","NEUTRAL
The sentence does not indicate a clear stance towards either tightening or easing of monetary policy. It discusses the implications and questions that arise when a range is selected for inflation movements, without expressing a preference for either direction."
2,"Fourth, I will discuss the major findings of the review as codified in our new Statement on Longer-Run Goals and Monetary Policy Strategy and highlight some important policy implications that flow from them.","NEUTRAL
The sentence does not indicate a specific stance towards tightening or easing of monetary policy. It simply states that the speaker will discuss the major findings of a review and highlight policy implications."
1,"Notably, if people feel sure that inflation will remain well controlled, they will be more restrained in their wage-setting and pricing behavior, which (in something of a virtuous circle) makes it easier for the Federal Reserve to confirm their expectations by keeping inflation low.","DOVISH
The sentence suggests that if people are confident that inflation will be well controlled, they will be more cautious in their wage-setting and pricing behavior. This cautious behavior makes it easier for the Federal Reserve to maintain low inflation. This indicates a stance towards easing of the monetary policy, as the focus is on keeping inflation low."
1,"As always, my colleagues on the FOMC and I will act to foster our dual objectives of price stability and sustainable economic growth.","NEUTRAL
The sentence indicates a neutral stance as it emphasizes the commitment to both price stability and sustainable economic growth without explicitly mentioning any specific actions related to tightening or easing of monetary policy."
