true_label,original_sent,text_output
1,The information reviewed at this meeting indicated that economic activity had turned up in the final quarter of last year and strengthened further since then.,"NEUTRAL
The sentence describes an observation of economic activity improving, which does not directly indicate a future policy action towards tightening or easing monetary policy."
0,"To be sure, the prices of assets and the level of debt seem to reflect expectations of a benign economic environment--one in which policy will tighten only gradually, the economy will continue to strengthen and inflation will remain low, and the demand for houses and equities will remain solid.","HAWKISH
The sentence suggests an expectation of a gradual tightening of policy, which indicates a move towards a more restrictive monetary stance."
1,Long-run price stability certainly is essential for achieving maximum employment.,"NEUTRAL
The sentence emphasizes the importance of price stability for employment but does not directly suggest a policy action towards tightening or easing monetary policy."
1,"Participants judged that an appropriate firming of the stance of monetary policy, along with an eventual waning of supply–demand imbalances, would help to keep longer-term inflation expectations anchored and bring inflation down over time to levels consistent with the Committee's 2 percent longer-run goal.","HAWKISH
The sentence indicates a preference for tightening monetary policy to control inflation and align it with the Committee's long-term target, which is a hawkish stance."
0,"So for many, many years, we’ve been far from maximum employment and stable prices, and so the need for accommodative policy has been—has been clear.","DOVISH
The sentence suggests a need for accommodative (easing) monetary policy due to being far from the goals of maximum employment and stable prices."
2,"Several mentioned that the revisions to the NIPA pointed to a modest downward adjustment in projected growth of actual and potential GDP, but thought that potential output growth was likely to be a bit higher than forecast by the staff.","NEUTRAL

The sentence indicates a discussion about revisions to economic projections without a clear direction towards tightening or easing monetary policy."
2,"Accordingly, considerable caution needed to be exercised in assessing the outlook for productivity and in relying on projections of the economy and prices, which necessarily embodied judgments about this outlook, in making monetary policy.","NEUTRAL

The sentence expresses the need for caution in economic projections, which affects monetary policy decisions, but does not directly suggest a tightening or easing stance."
2,"Despite the uncertainties, the consensus estimates of the NAIRU and the growth of potential give us a hint about what type of landing we should be aiming for and which of the scenarios depicted in figure 1 best describe the economy's initial conditions and prospects.","NEUTRAL

The sentence discusses using estimates of the NAIRU (non-accelerating inflation rate of unemployment) and potential growth to determine economic conditions and prospects, without explicitly suggesting a direction for monetary policy."
0,"Global growth estimates continue to be marked down, and global disinflationary pressures cloud the outlook for U.S. inflation.","DOVISH
The sentence suggests concerns about slowing global growth and disinflationary pressures, which could imply a potential easing of monetary policy to counteract these trends."
2,"For example, one—in the long-run, the size of the balance sheet is going to depend on the public’s demand for our liabilities, including currency and reserves.","NEUTRAL

The sentence discusses the long-term determinants of the balance sheet size, which is a technical aspect of monetary policy, without indicating a clear direction towards tightening or easing."
2,"Share prices of financial firms fell especially sharply, reportedly a reflection, in part, of concerns about exposures to subprime mortgages and about the effect of a potential slowdown in merger activity on operating profits.","NEUTRAL

The sentence describes market reactions and concerns, not a direct stance on monetary policy."
2,"In the Committee's discussion of current and prospective economic conditions, members focused on the disparate forces that continued to shape trends in economic activity, notably the persist- ence of considerable strength in private domestic spending and the damping influences stemming from foreign economic developments.","NEUTRAL

The sentence describes a balanced view of economic conditions, mentioning both strong domestic spending and negative external influences, without a clear direction towards tightening or easing monetary policy."
2,"So far this year, payroll employment had expanded at a faster pace than last year and the unemployment rate had declined further, although it remained elevated.","HAWKISH
The sentence suggests a strengthening labor market, which could lead to tighter monetary policy to prevent overheating and inflation."
2,"Broad equity price indexes were higher over the intermeeting period, amid heightened volatility.","NEUTRAL

The sentence merely describes market conditions (higher equity prices and volatility) without indicating a clear direction for monetary policy."
2,Participants' forecasts for economic growth for 2012 and 2013 were largely unchanged from their January projections and continued to indicate expectations that the recovery will strengthen somewhat over time.,"NEUTRAL
The sentence reflects a steady outlook with no clear indication of a shift towards either tightening or easing monetary policy, but rather an expectation of a gradual economic improvement."
2,There is no evidence to date that a strong labor market is putting excessive cost-push pressure on price inflation.,"DOVISH
The sentence suggests that a strong labor market has not led to increased inflationary pressure, which implies there may be less need for tightening monetary policy."
2,"Vice Chair Richard H. Clarida At the 2020 U.S. Monetary Policy Forum, sponsored by the Initiative on Global Markets at the University of Chicago Booth School of Business, New York, New York Share Thank you to the conference organizers for inviting me here to discuss what former Chair Bernanke has famously referred to as a ""hall of mirrors"" problem: a situation in which a central bank's reaction function and financial market prices interact in economically suboptimal and potentially destabilizing ways.1 In my remarks today, I will lay out the way I think about the interplay between financial markets and monetary policy, with a focus on how I myself seek to integrate noisy but often correlated signals about the economy that I glean from models, surveys, and financial markets.2 Three Observations I begin with three unobjectionable observations.","NEUTRAL

The sentence is an introductory remark that does not explicitly indicate a direction for monetary policy but rather sets the stage for a discussion on the relationship between financial markets and monetary policy."
2,The fundamental price of an asset typically is defined in terms of the discounted present value of the income stream or equivalent services that the asset is expected to provide over time.,"NEUTRAL
The sentence is a technical description of how the fundamental price of an asset is determined and does not directly indicate a stance on monetary policy."
0,"However, other participants noted that the continued subdued trend in wages was evidence of an absence of upward pressure on inflation from the current level of resource utilization.","DOVISH
The sentence suggests that there is no significant wage-induced inflation pressure, which could imply that there is less need for tightening monetary policy."
1,Staff Economic Outlook The projection for U. S. economic activity prepared by the staff for the April–May FOMC meeting was revised up on net.,"NEUTRAL

The sentence merely states that the economic projection was revised upward, without indicating a clear direction for monetary policy."
