true_label,original_sent,text_output
0,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""Consistent with its statutory mandate, the Federal Open Market Committee seeks monetary and financial conditions that will foster maximum employment and price stability.","NEUTRAL

The sentence describes the FOMC's broad mandate to foster maximum employment and price stability, which is a general statement of purpose rather than a specific policy direction."
0,"Moreover, inflation was running at a fairly low rate and quite possibly would edge down a little further over coming quarters.","DOVISH
The sentence suggests an expectation of low and possibly decreasing inflation, which often aligns with a stance favoring monetary policy easing."
2,"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.","DOVISH
The sentence suggests that there is still some slack in the labor market, indicating a potential for a more accommodative monetary policy stance to support employment."
1,"Inflation was still expected to be somewhat higher this year than last year, largely reflecting an upturn in the prices for food and non-energy imports.","HAWKISH
The sentence suggests concerns about rising inflation, which typically leads to a tightening of monetary policy to control price levels."
2,"With the Committee in the process of reviewing its monetary policy strategies and communication, and no additional accommodation being provided at this meeting, a few members indicated that they could support the Committee's decision even though they had not favored recent policy actions.","HAWKISH
The sentence suggests that some members are not in favor of further easing and are supportive of not providing additional accommodation, indicating a preference for a tighter monetary policy stance."
2,"Committee Policy Action In their discussion of monetary policy for the period ahead, Committee members agreed that the stance of monetary policy should not be changed at this meeting.","NEUTRAL
The sentence indicates that the Committee members have agreed to maintain the current stance of monetary policy, implying no change towards tightening or easing."
0,"Apart from notably adverse business sentiment and disappointing growth in sales and profits, factors that were curbing capital expenditures cited by members included persisting capital overhangs stemming from what were now seen as excessive earlier buildups in equipment and software and substantial idle capacity in many industrial and commercial structures.","HAWKISH
The sentence suggests concerns about economic overexpansion and excess capacity, which could imply a need for tightening monetary policy to prevent inflation or economic overheating."
2,"Their forecasts of consumer price inflation for the year, as measured by the PCE chain-type price index, were centered in a range of 1-1/4 to 1-1/2 percent, with a full range of 1-1/4 to 1-3/4 percent.","NEUTRAL

The sentence provides information about inflation forecasts without indicating a clear direction for monetary policy adjustments."
0,"Economic data releases were mixed, on balance, over the intermeeting period, but market participants were especially attentive to incoming information on the labor market--most notably, the private payroll figures in the employment report for May, which were considerably weaker than investors expected.","DOVISH
The sentence suggests that economic data, particularly regarding the labor market, was weaker than expected, which could imply a potential easing of monetary policy to support the economy."
2,Members also agreed that there was only a remote possibility that the process of disinflation would cumulate to the point of a decline for an extended period in the general price level.,"NEUTRAL
The sentence suggests a view on inflation expectations without indicating a clear direction for future monetary policy adjustments."
0,"While these developments were positive, participants noted several factors that likely would continue to restrain the expansion in economic activity.","NEUTRAL

The sentence indicates a recognition of positive developments but also acknowledges factors that could limit economic growth, suggesting a balanced view without a clear direction towards tightening or easing monetary policy."
0,"On the foreign trade side of the economy, an anticipated firming of economic conditions abroad would provide impetus to real net exports, At the same time, however, imports were expected to rise appreciably in response to the expansion of domestic economic activity and the appreciation of the dollar, and on balance the external sector probably would not be boosting real GDP.","NEUTRAL
The sentence discusses expectations about trade dynamics without indicating a clear direction for monetary policy tightening or easing."
2,"Participants' Views and Committee Policy ActionIn conjunction with this FOMC meeting, all meeting participants--the five members of the Board of Governors and the presidents of the 12 Federal Reserve Banks--provided projections for economic growth, the unemployment rate, and consumer price inflation for each year from 2009 through 2011 and over a longer horizon.","NEUTRAL

The sentence describes a procedural action of the FOMC where participants provided economic projections, which does not directly indicate a stance on monetary policy."
2,"A few participants also noted that uncertainty about the extent of resource slack in the economy was considerable and that it was quite possible that the economy could soon be operating close to potential, particularly if labor force participation rates did not turn up much while employment continued to register gains.","HAWKISH

The sentence suggests concern about the economy operating close to potential, which could lead to inflationary pressures, implying a potential need for tightening monetary policy to prevent overheating."
1,"The expansion of M3 picked up over September and October, reflecting a strong acceleration in its non-M2 component that was associated with strong inflows to institutional money market funds and stepped-up issuance of large time deposits to meet credit demands.","HAWKISH
The sentence indicates an expansion of the money supply, particularly in less liquid components, which could suggest a response to increased credit demands, potentially leading to tighter monetary policy to control inflation."
