true_label,original_sent,text_output
2,"So that’s in the low 20s, and that’s post the May employment report.","NEUTRAL

The sentence provides information about a data point following an employment report but does not indicate a clear direction for monetary policy tightening or easing."
0,"At the time of our FOMC meeting in January, prospects for continued economic growth remained favorable, and we judged that monetary policy was well positioned to support that outlook.","NEUTRAL
The sentence indicates a belief in continued economic growth and a satisfaction with the current stance of monetary policy, suggesting no immediate change in policy direction."
2,"There’s a lot more demand for risk sharing, for liquidity services, and so on.","NEUTRAL

The sentence discusses the demand for risk sharing and liquidity services, which does not directly indicate a stance on monetary policy tightening or easing."
0,"By getting unemployment down, we hope to bring back to work some of the people who’ve been out of work as long as they have and, in that respect, try to avoid the longer-term consequences of people being out of work for months at a time.","DOVISH
The sentence suggests a focus on reducing unemployment and mitigating long-term joblessness, which typically aligns with a more accommodative monetary policy stance aimed at supporting economic growth and employment."
0,"But also we want to see inflation move up back to our 2 percent objective over the medium term, and so seeing above-trend growth and continuing tightness—greater tightness in labor and product markets—I think that will help us achieve our objective as well with respect to inflation.","HAWKISH
The sentence indicates a desire for inflation to return to a target level, suggesting a willingness to accept tighter labor and product markets, which is often associated with a tightening monetary policy stance."
2,That is a positive for growth.,"NEUTRAL
The sentence ""That is a positive for growth"" does not directly indicate a stance on monetary policy tightening or easing; it simply expresses a positive outlook on growth."
0,"We have a 2 percent symmetric inflation objective, and, for a number of years now, inflation has been running under 2 percent.","DOVISH
The sentence indicates a concern about inflation being below the target, which often suggests a stance that could favor easing monetary policy to increase inflation to the desired level."
2,So the term “trend inflation”—usually there are a variety of statistical techniques that can be used to extract a trend from a series.,"NEUTRAL

The sentence is discussing the concept of ""trend inflation"" in a technical context, without indicating a clear direction for monetary policy."
0,"Inflation pressures remain muted, and indicators of longer-term inflation expectations are at the lower end of their historic ranges.","DOVISH
The sentence suggests that inflation is not a current concern and that expectations for future inflation are low, which typically implies there is no immediate need for tightening monetary policy."
0,"During this time of reopening, we are likely to see some upward pressure on prices, and I’ll discuss why.","HAWKISH
The sentence suggests an expectation of inflationary pressure, which often leads to tightening monetary policy to control inflation."
0,"And, and those are—that’s again—that goes to keeping this episode as short as it can be and avoiding unnecessary business bankruptcies, unnecessary household bankruptcies, and unnecessary long-term stays of unemployment or supporting people through them so that they can maintain their financial footing and their lives and be able to go back to work in a productive way.","DOVISH
The sentence suggests a focus on preventing bankruptcies and supporting people to maintain financial stability, which aligns with a more accommodative monetary policy stance aimed at easing economic hardships."
0,"So you have seen a shift this time in most participants’ assessments of the appropriate path for policy, and, as I tried to indicate, I think that largely reflects a somewhat slower projected path for global growth—for growth in the global economy outside the United States—and for some tightening in credit conditions in the form of an increase in spreads.","HAWKISH

The sentence suggests a shift towards a tighter monetary policy due to concerns about slower global growth and tighter credit conditions."
2,"Inflation, in fact, is under control, and starting to come down.","DOVISH
The sentence suggests that inflation is not a current concern as it is decreasing, which may imply a potential for a more accommodative monetary policy stance."
2,It will include all data relevant to our dual mandate of stable prices and maximum employment.,"NEUTRAL
The sentence indicates a commitment to the Federal Reserve's objectives without specifying a direction for monetary policy."
0,"So in—in—in U-6, the U-6 level of unemployment has tripled from 7 percent to 21 percent.","NEUTRAL

The sentence is stating a fact about the level of unemployment (U-6) and does not directly indicate a policy stance on tightening or easing monetary policy."
0,"So, if we maintain a highly accommodative monetary policy for a very long time from here and the economy performs as we expect—namely, it’s strong and the risks that are out there don’t materialize—my concern will be that we will have much more tightening in labor markets than you see in these projections.","HAWKISH
The sentence suggests a concern about maintaining an accommodative policy for too long, implying a need for tightening to prevent overheating in labor markets."
2,That should drive productivity.,"NEUTRAL

The sentence ""That should drive productivity."" does not directly indicate a stance on monetary policy tightening or easing; it is a neutral statement regarding economic conditions or outcomes."
1,"In other cases, it’s pretty clear that inflation has spread more broadly across services.","HAWKISH
The sentence suggests a concern about inflation spreading, which typically implies a need for tightening monetary policy to combat inflation."
2,I would further say that I think it’s important to emphasize that we’re not going to mechanically take the interest rate projections that participants provide and just build policy off of that.,"NEUTRAL

The sentence indicates a non-mechanical approach to policy-making, suggesting flexibility rather than a clear direction towards tightening or easing monetary policy."
2,"But—so I would just say that our—that there are many things that go in, as you know, to, to setting asset prices.","NEUTRAL

The sentence does not explicitly indicate a direction for monetary policy but rather discusses factors influencing asset prices."
0,"Last year, we had 1.9 percent productivity, which is much higher.","NEUTRAL

The sentence merely states a fact about past productivity levels and does not directly indicate a stance on monetary policy tightening or easing."
2,"Looking ahead, FOMC participants project the unemployment rate to continue to decline; the median projection is 5 percent at the end of next year and moves below 4 percent by 2023.","NEUTRAL

The sentence is a projection about the unemployment rate and does not directly indicate a stance on monetary policy tightening or easing."
0,"And no, we’re not—we, we have not at all changed our view, and I haven’t changed my view that inflation running above 2 percent, moderately above 2 percent, is a desirable thing.","HAWKISH
The sentence suggests a tolerance for inflation moderately above the 2 percent target, which implies a less aggressive stance on tightening monetary policy, but the commitment to not changing their view on this tolerance indicates a readiness to act against higher inflation, which is generally considered a hawkish position."
1,"I mean, it really depends on how long it takes for wages and, more than that, prices to come down for inflation to come down.","NEUTRAL

The sentence indicates a conditional stance on monetary policy, dependent on the economic outcome of wages and prices, without a clear direction towards tightening or easing."
0,"And then, what the statement emphasizes, and this is the same language we used in December and January, we used the language especially if inflation is running below our 2 percent objective.","DOVISH
The sentence suggests a stance towards easing monetary policy, particularly if inflation is below the 2 percent target."
0,Long-term unemployment in the current economy is—is the worst—really the worst it’s been in the postwar period.,"DOVISH
The sentence suggests concern over high levels of long-term unemployment, which could imply a need for more accommodative monetary policy to support economic recovery."
2,"If we—if we analyze inflation data and conclude that, clearly, transitory influences are holding down inflation, I do not want to say that we would respond to that.","NEUTRAL

The sentence indicates a wait-and-see approach to inflation data, suggesting neither a clear tightening nor easing of monetary policy without further information."
