true_label,original_sent,text_output
1,"Because inflation normally responds slowly to such shocks, inflation targeters could respond in any of three ways.","NEUTRAL

The sentence discusses potential responses to shocks affecting inflation without indicating a specific direction towards tightening or easing monetary policy."
0,"As a result, national saving increased, providing further impetus to economic growth.","NEUTRAL

The sentence describes an economic outcome (increased national saving leading to economic growth) without indicating a clear direction for monetary policy tightening or easing."
1,"During the period examined, the rate of overall consumer inflation was 2.78 percent, as measured by the regular CPI-U for All Items.","NEUTRAL

The sentence merely reports a historical inflation rate without indicating a clear direction for future monetary policy."
1,"Going forward, the question is not only whether inflation will fall in the coming months, but also how far it will fall and if it will fall soon enough to avoid spurring a concerning rise in longer-term inflation expectations.","NEUTRAL

The sentence expresses uncertainty about future inflation trends and their impact on long-term expectations, without indicating a clear direction for monetary policy."
2,"At this point, for me, it comes down to what the incoming data and other economic information will tell us about the outlook for inflation.","NEUTRAL

The sentence indicates a data-dependent approach without a clear inclination towards either tightening or easing monetary policy."
2,"Of course, many other factors also influence inflation, and some of these provide other possible explanations for the recent changes in inflation dynamics.","NEUTRAL

The sentence acknowledges the complexity of inflation dynamics without indicating a clear direction for monetary policy."
1,"As always, my colleagues on the FOMC and I will act to foster our dual objectives of price stability and sustainable economic growth.","NEUTRAL
The sentence expresses a commitment to the Federal Reserve's dual mandate without indicating a specific direction of monetary policy change."
1,"First, if, as projected, core PCE inflation this year does come in at, or certainly above, 3 percent, I will consider that much more than a ""moderate"" overshoot of our 2 percent longer-run inflation objective.","HAWKISH
The sentence indicates a readiness to tighten monetary policy if inflation exceeds the targeted objective, suggesting a stance against inflationary pressures."
2,"Their key finding, illustrated in figure 3, is that Federal Reserve policy rate surprises attributed to stronger U.S. growth generally have only moderate spillovers to EM financial conditions, whereas U.S. policy rate changes attributed to U.S. inflationary pressures trigger more substantial spillovers to EM financial conditions.","HAWKISH
The sentence suggests that U.S. policy rate changes due to inflationary pressures (which typically lead to tightening of monetary policy) have significant effects on Emerging Markets (EM) financial conditions, implying a concern for inflation control which is a hawkish stance."
2,"Indeed, an oft-quoted quip by economist Robert Solow held that, as of the late 1980s, ""computers are everywhere except in the productivity statistics.","NEUTRAL

The sentence is a historical reference to a quip about technology and productivity, not directly related to monetary policy stance."
2,"However, I can provide you with some insight into the way the FOMC functions and the impact of monetary policy on the U.S. and global economies.","NEUTRAL

The sentence provides an offer to explain the functioning of the FOMC and the impact of monetary policy, without indicating a direction towards tightening or easing."
2,"Indeed, how will we measure inflation, and the associated financial market implications, in the twenty-first century when our data--using current techniques--could become increasingly less adequate to trace price trends over time?","NEUTRAL

The sentence questions the adequacy of current techniques to measure inflation in the future, which does not directly indicate a stance on monetary policy tightening or easing."
