true_label,original_sent,text_output
0,"The U. S. international trade deficit narrowed in May, as a large increase in exports of goods and services more than offset a moderate increase in imports.","NEUTRAL
The sentence describes a trade balance situation without directly indicating a change in monetary policy stance."
0,"Based on historical experience, it seems improbable that all of the large rise in multifactor productivity could be attributed to cyclical or transitory factors.","NEUTRAL

The sentence discusses multifactor productivity in a historical context without directly indicating a clear stance on monetary policy adjustments."
2,"This was also an era when the principal mortgage lenders, savings and loans, were sometimes constrained from satisfying mortgage demands by binding Regulation Q ceilings that eroded their deposit base when interest rates rose.","NEUTRAL
The sentence describes a historical context regarding mortgage lending practices and regulatory constraints, without indicating a current stance on monetary policy."
2,The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter.,"NEUTRAL

The sentence is discussing an economic observation regarding net exports' contribution to GDP growth, without directly suggesting a policy action towards tightening or easing monetary policy."
2,"However, we have also found that excluding volatile food and energy prices generally gives a better sense of underlying inflation pressures that are likely to persist and dominate total inflation over time.","NEUTRAL
The sentence discusses the method of measuring underlying inflation pressures by excluding volatile items, which does not directly indicate a policy action towards tightening or easing."
2,"In this case, there may be no problem for monetary policy.","NEUTRAL

The sentence suggests a stance where monetary policy does not need to adjust, indicating neither a tightening nor an easing bias."
0,"In addition, U.S. inflation remains muted.","DOVISH
The sentence suggests that inflation is not a current concern, which may imply a stance towards easing monetary policy or at least not tightening it."
0,These geopolitical events also pose downside risks to growth.,"DOVISH
The sentence suggests concern about negative impacts on economic growth, which could imply a potential for monetary policy easing to counteract those risks."
1,"Rather, members agreed that inflation was likely to moderate in coming quarters,","DOVISH
The sentence suggests that members expect inflation to decrease, which could imply a potential easing of monetary policy if inflation pressures subside."
2,"But it could be that if interest rates rise quickly, for example, that we would be in a situation of not giving remittances to the Treasury for a couple of years, and that would create problems, no doubt, for the Fed in terms of congressional response.","HAWKISH
The sentence suggests a scenario where rising interest rates (a tightening monetary policy action) could lead to a lack of remittances to the Treasury, which is a concern associated with a hawkish stance."
2,"I look forward, as always, to my conversation with Tim, but first, please allow me to offer a few remarks on the economic outlook, Federal Reserve monetary policy, and our new monetary policy framework.","NEUTRAL

The sentence is an introductory remark without any specific indication of monetary policy direction."
2,"In the productivity boom that followed World War I, a chief technological innovation was the spread of electrification to the factory floor.","NEUTRAL

The sentence describes a historical fact about technological innovation and does not directly relate to current monetary policy stance or actions."
1,"Major stock price indexes were up a bit over the intermeeting period, as positive first-quarter earnings reports more than offset the negative effects of higher energy prices and rising interest rates.","NEUTRAL

The sentence describes market conditions without a clear indication of a future monetary policy stance; it simply reports observed market events."
0,"The early days of stabilization policy in the 1950s taught monetary policymakers not to attempt to offset what are likely to be temporary fluctuations in inflation.15 Indeed, responding may do more harm than good, particularly in an era where policy rates are much closer to the effective lower bound even in good times.","DOVISH
The sentence suggests a caution against tightening monetary policy in response to temporary fluctuations in inflation, especially when policy rates are close to the lower bound, implying a preference for maintaining or easing policy rather than tightening."
1,"While the current episode has not yet concluded, it appears that, responding vigorously in a relatively flexible economy to the aftermath of bubbles, as traumatic as that may be, is less inhibiting to long-term growth than chronic high-inflation monetary policy.","HAWKISH
The sentence suggests a preference for a vigorous response to economic bubbles, implying a tighter monetary policy stance to prevent long-term damage from high inflation, which is associated with hawkish policy."
0,But I want to emphasize that we do have a commitment to raising inflation to 2 percent.,"DOVISH
The sentence indicates a commitment to raising inflation, which typically aligns with monetary policy easing to stimulate economic activity."
2,The Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent with the Committee's assessments of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time.,"DOVISH
The sentence indicates a commitment to maintaining a low federal funds rate to support employment and allow inflation to rise to the Committee's target, suggesting an easing monetary policy stance."
1,"Spreads on risky private-sector debt reached very low levels, and damaging spillovers to the nonfinancial sector occurred in the form of unduly high real estate prices and excessive leverage by borrowers in the housing market.","HAWKISH
The sentence suggests concern over excessive risk-taking and asset bubbles, which could prompt tightening measures to mitigate financial stability risks."
1,"As a consequence, a sustainable, non-inflationary expansion is likely to involve some moderation in the growth of economic activity to a rate more consistent with the expansion of the nationâ€™s underlying productive capacity.","HAWKISH
The sentence suggests a need to moderate economic growth to prevent inflation, which aligns with a tightening monetary policy stance."
0,Significant cost cutting by firms was thought to have led to a sizable increase in productivity growth in the first half of the year,"NEUTRAL

The sentence describes an observation on productivity growth due to cost cutting by firms, which does not directly indicate a stance on monetary policy."
1,They noted that the economy had entered the new year with considerable momentum and very few indications that growth was moderating from what appeared to be an unsustainable rate.,"HAWKISH
The sentence suggests that the economy is growing at a potentially unsustainable rate, which may imply the need for tightening monetary policy to prevent overheating."
0,"Some participants judged the risks to the outlook for inflation as tilted to the downside, particularly in the near term, in light of the large amount of resource slack already prevailing in the economy, the significant downside risks to the outlook for real activity, and the possibility that inflation expectations could begin to decline in response to low actual inflation.","DOVISH
The sentence suggests that some participants see a risk of inflation being lower than expected due to economic underperformance and falling inflation expectations, which could imply a potential for monetary policy easing."
2,"When governments resort to printing money to finance their spending, inflation rises and nominal assets lose their value.","HAWKISH
The sentence implies a negative consequence of excessive monetary expansion, suggesting a stance against loose monetary policy, which aligns with a hawkish view."
2,"Of the 1,700 Washington employees, roughly 250 are Ph.D. economists, the majority of whom support the Board's monetary policy responsibilities.","NEUTRAL
The sentence is merely descriptive of the staff composition and does not indicate a policy direction."
0,"Regarding the ELB, the previous statement was silent on the global decline in neutral policy rates, the likelihood that the ELB will constrain monetary policy space in economic downturns, and the implications of this constraint for our ability to achieve our dual-mandate goals.","NEUTRAL

The sentence discusses the Effective Lower Bound (ELB) and its implications without indicating a clear direction for tightening or easing monetary policy."
1,"To date, the spillover from the surge in oil prices has been modest.","NEUTRAL
The sentence indicates an observation of limited impact from rising oil prices, without suggesting a clear direction for monetary policy."
0,"The “extended period” language is conditioned on exactly those same points: “Extended period” is conditioned on resource slack, on subdued inflation, and on stable inflation expectations.","DOVISH
The sentence suggests that the commitment to an ""extended period"" of policy is based on the presence of economic slack, low inflation, and stable inflation expectations, which are conditions that typically warrant a more accommodative (dovish) monetary policy stance."
0,"Although inflation remained remarkably subdued and any increase in inflationary pressures likely would tend to emerge only slowly, the strength in demand had developed against the backdrop of financial conditions that, broadly considered, were not substantially different from those now prevailing.","HAWKISH

The sentence suggests concern over potential inflationary pressures due to strong demand, implying a consideration for tightening monetary policy to prevent inflation from rising."
0,A few participants judged that the expectations regarding the path of the federal funds rate implied by prices in financial markets were currently suggesting greater provision of accommodation at coming meetings than they saw as appropriate and that it might become necessary for the Committee to seek a better alignment of market expectations regarding the policy rate path with policymakers' own expectations for that path.,"HAWKISH
The sentence suggests that some FOMC participants believe the market expects more easing than is appropriate, indicating a potential need for the Committee to signal a tighter monetary policy stance to align with their own expectations."
