true_label,original_sent,text_output
2,"A substantial increase in lending to nonprime borrowers contributed to the bulge in residential investment in 2004 and 2005, and the tightening of credit conditions for these borrowers likely accounts for some of the continued softening in demand we have seen this year.","NEUTRAL

The sentence describes a historical situation where an increase in lending to nonprime borrowers led to a rise in residential investment, followed by a tightening of credit conditions that contributed to a decrease in demand. It does not directly indicate a future policy stance of tightening or easing monetary policy but rather provides an analysis of past credit conditions and their economic impact. The focus is on explaining the dynamics of the housing market and credit conditions rather than signaling an intent to adjust monetary policy in response to these observations."
0,"Global growth estimates continue to be marked down, and global disinflationary pressures cloud the outlook for U.S. inflation.","DOVISH

The sentence indicates that global economic growth is slowing down and there is a trend toward lower inflation worldwide, which could lead to lower inflation in the U.S. as well. This suggests that there may be less need for the FOMC to tighten monetary policy to combat inflation, and instead, there might be room for easing to support economic growth and employment. The mention of ""disinflationary pressures"" aligns with a dovish stance, as it implies that the FOMC might focus on stimulating the economy rather than worrying about rising inflation."
1,"With respect to the new framework itself, the statement now notes that the neutral level of the federal funds rate has declined relative to its historical average and therefore that the policy rate is more likely than in the past to be constrained by its ELB, and, moreover, that this binding ELB constraint is likely to impart downside risks to inflation and employment that the Committee needs to consider in implementing its monetary policy strategy.","NEUTRAL

The sentence describes the Federal Open Market Committee's (FOMC) assessment of the neutral level of the federal funds rate and its implications for monetary policy. It acknowledges a lower neutral rate compared to historical averages and the potential constraints posed by the effective lower bound (ELB). The statement also recognizes the associated risks to inflation and employment. This analysis is more about the framework and conditions under which the FOMC operates rather than a direct indication of a policy shift towards tightening or easing. It reflects an understanding of the economic environment and the challenges it poses for policy implementation, without committing to a specific policy direction."
2,"Overall, though shifts in business attitudes are difficult to measure, I believe that markets reward businesses that outperform their competitors and that, as demand picks up, companies will respond to opportunities to incorporate technological advances in production, communication, and organization.","NEUTRAL

The sentence discusses the behavior of businesses in response to market demand and technological advances, rather than directly addressing the FOMC's monetary policy stance. It neither indicates a tightening nor an easing of monetary policy but rather comments on market dynamics and business strategies. This statement is more about the general economic outlook and the adaptive nature of businesses, which does not directly relate to the immediate goals of monetary policy concerning employment, inflation, or interest rates."
0,"To achieve its mandated objectives, the FOMC must influence the course of the U.S. economy, helping it to grow rapidly enough to make full use of available resources but not so rapidly as to stoke inflation.","NEUTRAL

The sentence describes the FOMC's balancing act between fostering economic growth and preventing inflation, without indicating a current direction for policy change. It reflects the Committee's dual mandate of promoting maximum employment and stable prices, as well as its goal of moderate long-term interest rates. The statement does not explicitly suggest an imminent tightening or easing of monetary policy, but rather emphasizes the need for a careful approach to managing the economy's growth in relation to resource utilization and inflation pressures."
1,Proponents of this strategy sometimes describe this approach as reducing inflation cycle-to-cycle or describe the economy as being one recession from price stability.,"HAWKISH

The sentence suggests a strategy focused on reducing inflation, which implies a tightening of monetary policy to bring inflation down. Describing the economy as being ""one recession from price stability"" indicates a willingness to accept the economic slowdown (or even a recession) as a trade-off for achieving price stability, which is consistent with a hawkish stance that prioritizes controlling inflation over stimulating growth."
2,"However, we also believe now is a good time to step back and assess whether, and in what possible ways, we can refine our strategy, tools, and communication practices to achieve and maintain our goals as consistently and robustly as possible.2 With the U.S. economy operating at or close to maximum employment and price stability, now is an especially opportune time to conduct this review.","NEUTRAL

The sentence indicates that the FOMC is considering a review of its strategy, tools, and communication practices to ensure they are effectively achieving their goals. The mention of the U.S. economy operating at or close to maximum employment and price stability suggests that the current policy stance is appropriate, but the Committee is open to adjustments if necessary. This does not signal an immediate move towards tightening or easing but rather a willingness to evaluate and adjust as needed to maintain their objectives."
2,"There are, however, some problems with this story as the principal explanation for the favorable inflation performance.","NEUTRAL

The sentence does not clearly indicate a direction for monetary policy adjustment. It suggests that there are issues with the current understanding of inflation dynamics, but it does not specify whether this would lead to a tightening or easing of policy. The statement is more reflective and analytical rather than prescriptive, thus it is categorized as neutral."
2,What I do want to share with you is how the equity market fits into my thinking about monetary policy.,"NEUTRAL

The sentence does not provide any specific information about the direction of monetary policy adjustments. It merely indicates that the speaker considers the equity market as one factor in their monetary policy decision-making process. It does not suggest whether this consideration will lead to tightening or easing of monetary policy, nor does it directly relate to the goals of maximum employment, stable prices, and moderate long-term interest rates."
0,It will be a while before we can be sure that a self-sustaining expansion is underway of sufficient strength and persistence to put the economy back on a path toward full employment.,"DOVISH

The sentence implies that the economy is not yet on a strong and persistent growth path that would lead to full employment, suggesting that the FOMC may maintain or introduce policies to stimulate economic growth until more robust signs of recovery are evident. This dovish stance aligns with a policy geared towards easing rather than tightening to support the economy in reaching full employment."
1,"This is the scenario from which we draw the lesson that timely, typically preemptive, policy restraint to avoid the excesses of a boom results in longer expansions and avoids unnecessary fluctuations in both output and inflation.","HAWKISH

The sentence implies that the Federal Open Market Committee (FOMC) believes in taking early action to tighten monetary policy to prevent the economy from overheating, which aligns with a hawkish stance. By advocating for ""timely, typically preemptive, policy restraint,"" the FOMC is suggesting that it would raise interest rates or take other measures to slow down economic growth before inflation and other excesses become problematic. This approach is intended to lead to more sustainable long-term economic growth and stability in both output and inflation, which is consistent with the FOMC's goals of stable prices and moderate long-term interest rates."
1,"Indeed, the National Bureau of Economic Research's Business Cycle Dating Committee determined in July that the recession that began in March of last year ended in April, making it not only the deepest recession on record, but also the briefest.2 The recovery that commenced in the summer of 2020 was quite robust, and, with one quarter to go, GDP growth in 2021 is projected by the Fed and many outside forecasters to be the fastest since 1983.","NEUTRAL

The sentence provides an assessment of past economic performance, noting the end of a recession and a robust recovery with strong GDP growth projected. It does not directly indicate a future tightening or easing of monetary policy, but rather gives context to the economic environment in which the FOMC is operating. The statement reflects on historical data and projections without suggesting a specific monetary policy action."
1,But this belief will persist only as long as we on the Federal Open Market Committee continue to ratify the publicâ€™s expectations that inflation will remain low and stable.,"HAWKISH

The sentence implies a commitment to maintaining low and stable inflation, suggesting that the Federal Open Market Committee (FOMC) is willing to take action (potentially tightening monetary policy) to ensure that inflation expectations are met. This stance aligns with a hawkish approach, where the focus is on preventing inflation from rising above the target level."
2,"Indeed, the website of the Central Bank of Brazil explicitly acknowledges the role of inflation in driving financial innovations that enabled firms and households to economize on cash balances in that country.","NEUTRAL

The sentence describes a historical observation regarding the role of inflation in driving financial innovations in Brazil, which helped firms and households to economize on cash balances. It does not directly indicate a stance on the current monetary policy in terms of tightening or easing by the Federal Reserve. Instead, it provides context on the effects of inflation on economic behavior, which is a neutral statement in terms of policy direction."
2,"During expansions, equity prices tend to rise, although they often decline before a downturn in the economy.","NEUTRAL

The sentence describes a general observation about the behavior of equity prices during different phases of the economic cycle, without indicating a specific direction for monetary policy. It neither suggests an immediate need for tightening (hawkish) nor easing (dovish) of monetary policy but rather provides context on market dynamics that may be considered when evaluating economic conditions."
2,"For example, the Stock-Watson indicator and other indicators based on interest rates and spreads signaled the 1990-91 recession very weakly and rather late.","NEUTRAL

The sentence is a historical observation about the performance of economic indicators during a past recession, rather than a statement about current or future monetary policy actions. It does not directly suggest a stance towards tightening or easing monetary policy but rather comments on the reliability of certain indicators in predicting economic downturns."
2,"By the same token, the effect of the interest rate channel on overall economic activity may be diminished by greater trade integration as changes in domestic demand are offset by induced changes in imports.","NEUTRAL

The sentence discusses the potential for the interest rate channel's effect on economic activity to be lessened due to greater trade integration, which suggests that changes in domestic monetary policy might have a diluted impact on the economy because of international trade dynamics. This statement does not directly indicate a clear move towards tightening or easing monetary policy but rather acknowledges the complexity of the economic environment in which monetary policy operates. It reflects an understanding of the limitations of monetary policy in a globally integrated economy and does not signal a specific policy direction."
0,The Committee took these actions to provide a somewhat more accommodative policy in response to muted inflation pressures and the risks to the outlook I mentioned earlier.,"DOVISH

The sentence indicates that the Committee has decided to implement a more accommodative monetary policy, which typically means lowering interest rates or using other tools to stimulate economic activity. This action is taken in response to ""muted inflation pressures,"" suggesting that inflation is below the target level, and to address certain risks to the economic outlook. A dovish stance is associated with easing monetary policy to support growth and employment when inflation is not a primary concern."
2,"While each of the Asian economies is unique in many important respects, the sources of their spectacular growth in recent years, in some cases decades, and the problems that have emerged are relevant to a greater or lesser extent to nearly all of them.","NEUTRAL

The sentence is a general assessment of economic conditions in Asian economies and does not directly indicate a stance on U.S. monetary policy adjustments. It neither suggests an imminent tightening nor an easing of policy but rather provides context on international economic conditions."
2,"In April, prices of core goods and services--that is, consumer prices excluding food and energy--were unchanged for a second month.","NEUTRAL

The sentence indicates that the core inflation rate, which excludes volatile food and energy prices, remained stable over the two months mentioned. This stability in core prices does not directly suggest an immediate need for the FOMC to either tighten or ease monetary policy, as it does not indicate a clear deviation from the inflation target. The lack of change in core goods and services prices could be interpreted as a sign that inflation pressures are not intensifying, which would not necessarily prompt a hawkish response, nor does it indicate deflationary pressures that would warrant a dovish response. Therefore, the statement is best classified as neutral, reflecting a balanced view on inflation without signaling a change in policy stance."
2,"Because long-term interest rates can remain low only in a stable macroeconomic environment, these goals are often referred to as the dual mandate; that is, the Federal Reserve seeks to promote the two coequal objectives of maximum employment and price stability.","NEUTRAL

The sentence describes the Federal Reserve's dual mandate of promoting maximum employment and price stability, which are its core objectives. It does not directly indicate a current or future direction of monetary policy tightening or easing but rather explains the conditions under which long-term interest rates can remain low. The statement is focused on the goals of the Federal Reserve rather than the means of achieving them through monetary policy adjustments."
2,"Today, just nine months later, the unemployment rate is 7.6 percent--a larger decline than most FOMC participants expected in September.","HAWKISH

The sentence indicates a significant and faster-than-expected decrease in the unemployment rate, which could suggest that the economy is heating up and potentially moving beyond full employment. This situation might lead the FOMC to consider tightening monetary policy to prevent overheating and to keep inflation in check, aligning with their goal of stable prices and maximum employment. A declining unemployment rate is often associated with upward pressure on wages and prices, which could warrant a hawkish stance to maintain price stability."
1,"Expectations of price increases over the near-term--specifically, over the next year--have, in fact, risen noticeably on the heels of the actual increase in inflation.","HAWKISH

The sentence indicates that there is an observed rise in both the expectations of price increases in the near term and the actual inflation. This suggests that there is upward pressure on inflation, which could warrant a tightening of monetary policy to keep inflation in check and align with the FOMC's goal of stable prices and a 2% inflation rate over the long term. Tightening monetary policy in response to rising inflation expectations is typically considered a hawkish stance."
2,"First, insofar as recent productivity growth is concerned, I have a serious question about the quality of the data that we employ to measure output in today's economy.","NEUTRAL

The sentence expresses a concern about the quality of productivity growth data, which is a technical observation rather than a direct indication of a future monetary policy stance. It does not explicitly suggest any immediate action towards tightening or easing monetary policy. Instead, it reflects on the reliability of the data used to inform policy decisions, which is crucial for achieving the FOMC's goals of maximum employment, stable prices, and moderate long-term interest rates. However, it does not in itself indicate a direction for policy adjustment."
2,"However, in the past two decades, what constitutes money has been obscured by the introduction of technologies that have facilitated the proliferation of financial products and have altered the empirical relationship between economic activity and what we define as money, and in doing so has inhibited the keying of monetary policy to the control of the measured money stock.1 Another example of ongoing structural change relates to innovations in mortgage finance.","NEUTRAL

The sentence describes the challenges that technological advancements and financial innovations pose to the traditional understanding and measurement of money, which complicates the implementation of monetary policy. It does not directly indicate a stance towards tightening or easing monetary policy but rather acknowledges the complexities in the monetary policy framework due to structural changes in the financial system. This reflects a balanced view on the difficulties in applying traditional monetary policy tools in the face of evolving financial landscapes."
1,And the equity market itself has been the subject of analysis as we attempt to assess the implications for financial and economic stability of the extraordinary rise in equity prices--a rise based apparently on continuing upward revisions in estimates of our corporations' already robust long-term earning prospects.,"HAWKISH

The sentence indicates concern about the rapid increase in equity prices, which may suggest the potential for financial instability or the formation of an asset bubble. When the FOMC notes such concerns, it often implies a readiness to tighten monetary policy to prevent overheating in the economy and to ensure financial stability, which aligns with their goal of moderate long-term interest rates and stable prices. The reference to ""extraordinary rise in equity prices"" and the need to assess its implications for stability suggests that the FOMC might consider measures to cool down the exuberance in the equity market, which is typically associated with a hawkish stance."
0,"As illustrated by the left-hand panel of figure 6, since 2000, both FOMC participants and respondents to the Blue Chip survey have markedly reduced their projections of the level of real short-term interest rates expected to prevail in the longer run.","NEUTRAL

The sentence describes a historical observation regarding the expectations of real short-term interest rates without indicating a current or future direction of monetary policy. It reflects a change in long-term projections rather than an immediate policy stance."
1,"Inflation continued to climb in June, reaching 9.1 percent as measured by the consumer price index.","HAWKISH

The sentence indicates that inflation has continued to rise, reaching a level of 9.1 percent, which is significantly above the FOMC's long-term target of 2 percent. This suggests that the FOMC may need to tighten monetary policy to bring inflation back down to its target level, which is consistent with a hawkish stance. Tightening monetary policy could involve raising interest rates or taking other actions to reduce the money supply and demand in the economy, thereby putting downward pressure on inflation."
2,One branch of economists holds the view that monetary policy should not be influenced by any perceived financial market bubbles.,"NEUTRAL

The sentence expresses an opinion held by a group of economists regarding the relationship between monetary policy and financial market bubbles, rather than indicating a current or future direction of monetary policy. It does not provide information on whether the FOMC will tighten or ease monetary policy, nor does it directly relate to the goals of maximum employment, stable prices, and moderate long-term interest rates. Therefore, it is considered a neutral stance in the context of classifying monetary policy direction."
2,"The events of the last two years come on top of a huge expansion of global trade, competition and productive capacity--all of which have given American businesses less control over prices in the face of rising costs and benefited American consumers through low prices.","NEUTRAL

The sentence describes the economic context and the effects of global trade expansion, competition, and increased productive capacity on American businesses and consumers. It does not directly indicate a stance on tightening or easing monetary policy but rather provides an observation on the factors influencing price control and consumer prices. The mention of low prices benefiting consumers could be seen as dovish, as it suggests inflation is not a pressing concern, but the overall sentence does not commit to a policy direction. It reflects an understanding of the economic environment, which is a necessary backdrop for policy decisions, without indicating a clear move towards either more hawkish or dovish policy actions."
2,Ultimately inflation is determined by the policy actions of the central bank.,"HAWKISH

The sentence ""Ultimately inflation is determined by the policy actions of the central bank"" implies that the central bank has the tools and responsibility to control inflation. This suggests a stance where the central bank is willing to take action, such as tightening monetary policy, to ensure inflation remains in check, aligning with a hawkish view that prioritizes the control of inflation, one of the key goals of the FOMC."
1,"And as reserves reach durably ample levels, we intend to slow the pace of purchases such that our balance sheet grows in line with trend demand for our liabilities.","HAWKISH

The sentence indicates that the Federal Reserve intends to slow the pace of asset purchases as reserves reach sufficiently high levels. This suggests a move towards tightening monetary policy, as reducing the pace of asset purchases would likely lead to a decrease in the excess liquidity in the financial system, which is consistent with a more hawkish stance. The action aligns with the goal of preventing an overheating economy that could lead to inflation exceeding the FOMC's 2% target."
0,"We also expect it will be appropriate to maintain the current target range for the federal funds rate at 0 to 1/4 percent until labor market conditions have reached levels consistent with the Committee's assessments of maximum employment, until inflation has risen to 2 percent, and until inflation is on track to moderately exceed 2 percent for some time.","DOVISH

The sentence indicates a commitment to maintaining a low federal funds rate until specific employment and inflation conditions are met. This suggests an easing stance, as the FOMC is signaling that it will not tighten monetary policy (i.e., raise interest rates) until there is clear evidence of maximum employment, a return to the 2% inflation target, and an expectation that inflation will moderately exceed 2% for some time. This approach is aimed at supporting economic activity and ensuring that both employment and inflation objectives are met before considering policy tightening."
2,"I look forward, as always, to my conversation with Tim, but first, please allow me to offer a few remarks on the economic outlook, Federal Reserve monetary policy, and our new monetary policy framework.","NEUTRAL

The sentence is an introductory remark that does not provide any specific information about the direction of monetary policy. It simply sets the stage for a discussion on the economic outlook, Federal Reserve monetary policy, and the new monetary policy framework, without indicating a stance towards tightening or easing monetary policy."
