sentence,year,label,pred_label
"In the circumstances, most members endorsed a proposal to delete as no longer necessary the previous summary statement relating to the risks to growth and inflation taken together.",1996,2,2
"In their discussion of considerations related to asset purchases, various participants noted that these purchases were an important part of the monetary policy toolkit and a critical aspect of the Federal Reserve's response to the economic effects of the pandemic, supporting smooth financial market functioning and accommodative financial conditions, which aided the flow of credit to households and businesses and supported the recovery.",2021,0,1
"Share prices of financial firms fell especially sharply, reportedly a reflection, in part, of concerns about exposures to subprime mortgages and about the effect of a potential slowdown in merger activity on operating profits.",2003,2,0
Participants commented on the continued improvement in labor market conditions in recent months driven by strong demand for workers.,2003,2,0
"Looking ahead, however, members reiterated earlier concerns that aggregate demand could continue to grow faster than potential aggregate supply, even under optimistic assumptions regarding future productivity gains.",2019,1,2
"That sentiment was apparently reinforced over the remainder of the period by the comments of several Federal Reserve officials and the release of the August employment report, which seemed to convey the view that the economy was emerging from its ""soft patch. """,2016,2,1
Market-based measures of inflation compensation have declined somewhat; survey-based measures of longer-term inflation expectations have remained stable.,2020,0,0
"The Committee expects that, with appropriate policy accommodation, economic activity will expand at a moderate pace, with labor market indicators continuing to move toward levels the Committee judges consistent with its dual mandate.",2001,0,1
Members expected to maintain an accommodative stance of monetary policy until those outcomes were achieved.,2009,0,2
"In the Committee's discussion of possible adjustments to policy during the intermeeting period, members agreed that the retention of an asymmetric directive toward tightening was consistent with their view that the risks remained biased toward higher inflation.",2022,1,0
"While bank lending continues to contract, financial market conditions remain supportive of economic growth.",2017,2,2
"At longer maturities, yields drifted lower over most of the intermeeting period in response to incoming data that suggested economic growth would remain moderate and inflation subdued, but they rebounded late in the period in response to the release of firmer economic data and growing concerns regarding the sustainability of current domestic asset prices.",2016,1,0
"Market-based measures of inflation compensation remained low; most survey-based measures of longer-term inflation expectations were little changed, on balance, in recent months.",2013,0,0
"They remarked that a stronger dollar, weaker demand, and lower oil prices were factors likely to put downward pressure on inflation in the period ahead and observed that this meant that the return of inflation to the Committee's 2 percent longer-run objective would likely be further delayed.",2015,0,0
"They noted that economic activity and employment had continued to recover but remained well below their levels at the beginning of the year, and that weaker demand and earlier declines in oil prices had been holding down consumer price inflation.",1996,0,0
"At the same time, business firms generally were not raising their prices sufficiently to compensate for faster increases in their labor costs, to the extent that the latter were occurring, evidently because of the persistence of intense competition in most markets.",2021,1,0
"In the household sector, mortgage debt increased at its lowest pace since the late 1990s, reflecting the continued deceleration in house prices.",2010,0,0
The civilian unemployment rate was 4.,2020,2,2
"However, other participants noted that the continued subdued trend in wages was evidence of an absence of upward pressure on inflation from the current level of resource utilization.",2006,0,0
"Much of the current spending for equipment and software reportedly represented replacement demand largely associated with the short useful lives of various types of equipment, and there appeared to be little spending that would entail capital deepening.",2006,2,2
"The staff forecast prepared for this meeting continued to suggest that the expansion would gradually moderate from its currently elevated pace to a rate around, or perhaps a little below, the growth of the economy's estimated potential.",2019,2,1
