sentence,year,label,pred_label
"In discussing the effect of labor market conditions on inflation, a number of participants expressed skepticism about recent studies suggesting that long-term unemployment provides less downward pressure on wage and price inflation than short-term unemployment does.",2001,2,0
"Several participants discussed the possible complications that additional purchases could cause for the eventual withdrawal of policy accommodation, a few mentioned the prospect of inflationary risks, and some noted that further asset purchases could foster market behavior that could undermine financial stability.",2010,1,2
"As yields on inflation-indexed Treasury securities rose roughly in line with their nominal counterparts, longer-term inflation compensation remained about unchanged.",2013,2,2
"In their discussion of monetary policy for the intermeeting period, Committee members agreed that keeping the target range for the federal funds rate at 0 to 1/4 percent would be appropriate.",2021,0,2
Several members noted the benefits of accumulating further information that could help clarify the contours of the outlook for economic activity and inflation as well as the need for further policy action.,2018,2,2
"The staff continued to view the uncertainty around its projections for real GDP growth, the unemployment rate, and inflation as generally similar to the average of the past 20 years.",1998,2,2
Most major indexes of equity prices moved up sharply on the bullish economic reports.,2021,1,2
"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.",2020,2,0
The deceleration seemed to reflect primarily an unwinding of heightened demand for the relative safety and liquidity of money market mutual funds that had boosted M2 in prior months.,2018,0,2
"Market-based measures of inflation compensation continued to indicate expectations that inflation would decline notably in coming quarters, and measures of medium-term inflation compensation fell over the intermeeting period.",2020,2,0
"The labor force participation rate, along with the employment-to-population ratio, increased, on net, in recent months.",2008,1,1
"Long-term government bond yields declined and headline equity indexes increased, on net, in most of these countries, with bank stock prices in the euro area rising more than broader indexes.",2022,0,0
"Job gains had been strong, on average, in recent months, and the unemployment rate had remained low.",2005,1,0
"Several other participants, however, noted that increases in excess reserves or the monetary base, by themselves, might not have a significant stimulative effect on the economy or prices because the normal bank intermediation mechanism appeared to be impaired, and banks may not be willing to lend their excess reserves.",2010,2,1
"remained well below their levels at the beginning of the year, and that weaker demand and earlier declines in oil prices had been holding down consumer price inflation.",1996,1,0
"In these circumstances, the Committee believed that some further measured policy firming was likely to be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance.",2010,1,2
Domestic respondents to the April SLOOS generally reported tightening their lending standards and experiencing weaker loan demand across all major CRE loan categories during the first quarter.,2016,0,1
"Some restraint on aggregate demand would come from other sectors of the economy--notably government spending, net exports, housing, and perhaps business inventories.",2017,2,2
"Meeting Participants' Views and Committee Policy ActionIn conjunction with this FOMC meeting, all meeting participants-the four members of the Board of Governors and the presidents of the twelve Federal Reserve Banks-provided projections for economic growth, the unemployment rate, and consumer price inflation for each year from 2009 through 2011.",2003,2,2
The members expected price pressures to remain relatively contained over the next several quarters in the context of what they anticipated would be only a gradual reduction of the excess capacity in labor and product markets as the recovery progressed.,2006,2,2
"Beyond 2017, the forecast for real GDP growth was little revised.",2018,2,2
"While these developments were positive, participants noted several factors that likely would continue to restrain the expansion in economic activity.",2006,0,2
"In general, financial markets were viewed as well positioned to support more vigorous expansion in economic activity.",2017,0,2
"In the Committee's discussion of current and prospective economic developments, members referred to the widespread statistical and anecdotal evidence that the surprising strength in economic activity over the closing months of 1996 was persisting in 1997.",1997,1,1
"However, in light of the projected persistence of slack in labor and product markets and the anticipated stability in long-term inflation expectations, the increase in inflation was expected to be mostly transitory if oil and other commodity prices did not rise significantly further.",2014,2,0
This action was taken against the backdrop of heightened concerns and uncertainty created by the recent terrorist attacks and their potentially adverse effects on asset prices and the performance of the economy.,2015,0,0
"If the outlook for the labor market does not improve substantially, the Committee will continue its purchases of agency mortgage-backed securities, undertake additional asset purchases, and employ its other policy tools as appropriate until such improvement is achieved in a context of price stability.",2015,0,1
"When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. """,2009,1,2
"The Committee will continue to monitor economic and financial developments and will act as needed to promote sustainable economic growth and price stability. """,2009,1,2
"Overall employment gains were relatively well maintained, and labor markets were still tight though showing signs of softening.",2012,2,2
"Many members concluded that because there did not seem to be any urgency to tighten current policy for domestic reasons, given the likelihood that inflation would remain subdued for a while, important weight should be given to potential reactions abroad.",2013,0,1
"However, if incoming information indicates faster progress toward the Committee's employment and inflation objectives than the Committee now expects, then increases in the target range for the federal funds rate are likely to occur sooner than currently anticipated.",2007,1,1
"A couple of participants pointed to the decline in credit spreads to relatively low levels by historical standards; one of these participants noted the risk of either a sharp rise in spreads, which could have negative repercussions for aggregate demand, or a continuation of the decline in spreads, which could undermine financial stability over time.",2011,0,0
"Many observed, however, that a favorable outcome to the hostilities in the Middle East and lower oil prices in line with quotations in futures markets should generate a positive response in equity markets, boost consumer sentiment, and foster a rebound in consumer spending as the year progressed.",2002,1,0
"A few participants also noted that uncertainty about the extent of resource slack in the economy was considerable and that it was quite possible that the economy could soon be operating close to potential, particularly if labor force participation rates did not turn up much while employment continued to register gains.",1996,2,2
