sentence,year,label,pred_label
And I fully expect it will return to solid growth and a solid labor market as well.,2019,2,2
"In fact, it’s already—it’s already understood, I think, that—that there’s more—even though we’re at 3½ percent unemployment, there’s actually more slack out there, in a sense.",2022,0,2
"Admittedly, some of the wage increases is being eaten away by inflation.",2019,1,1
Our current framework for implementing monetary policy is working very well.,2021,2,2
"And as I mentioned earlier, the unemployment decline last month was more than 100 percent accounted for by declines in participation.",2019,0,0
So unemployment has tended to go up much faster for minorities and for others who are—tend to be at the low end of the income spectrum.,2021,0,0
"But many other commodity prices have fallen further, and the reason I would give for that is that the emerging markets—China, the rest of Asia, and some other parts of the world—plus Europe, of course, are softer, and so global commodity demand is weaker.",2020,0,0
"The persistence of that into, into inflation over time is just not there.",2021,0,2
"But also we want to see inflation move up back to our 2 percent objective over the medium term, and so seeing above-trend growth and continuing tightness—greater tightness in labor and product markets—I think that will help us achieve our objective as well with respect to inflation.",2018,0,2
"So, as you know, the ultimate focus that we have is on the real economy: maximum employment and price stability.",2019,2,2
"You know, what you hear out there is that demand—you talk to banks, and they’ll say demand for loans is very, very low right now.",2014,0,1
"Finally, I would like to note that the Committee strives to explain its monetary policy decisions as clearly as possible, and we continue to explore ways of enhancing the clarity of our public communications.",2021,2,2
"If we think that the potential growth rate of the economy is somewhere between, somewhere around 1.75 percent, 2.8 percent is strong economic growth.",2021,0,0
"We also said we wouldn’t raise rates just in response to very low unemployment, in the absence of inflation.",2020,0,0
"Monetary policy has a role, and it really is in, you know—our original role was providing liquidity to financial systems when they’re under stress, and that’s—that’s really part of what we did today.",2014,0,2
"Monetary policy, maximum employment, stable prices—it’s less obvious to me.",2014,2,0
"But, I would say, overall, we’re trying to sustain the expansion and keep, you know, close to our statutory goals, which are maximum employment and stable prices.",2014,1,0
"You know, monetary policy is a forward-looking exercise, and I’m going to—I’m just going to stick with that.",2014,2,2
"The jobs picture continues to be strong, with the unemployment rate near historic lows and with stronger wage gains.",2021,1,0
"You know, stimulating aggregate demand is one thing, but where there’s a part of the economy that kind of will be resistant to that, you also need fiscal policy.",2014,0,2
"And what it is is, it’s an expression of the thinking about individual Committee members about appropriate monetary policy and the path of the economy.",2022,2,2
"At the time of our FOMC meeting in January, prospects for continued economic growth remained favorable, and we judged that monetary policy was well positioned to support that outlook.",2017,0,2
"I mean, we—the—again, the relationship between slack in the economy and inflation is weak, has been weak.",2015,2,2
So it’s a double whammy coming from higher gasoline prices.,2016,1,1
So we do say that risks to the financial system—we say in our longer-run statement of goals and monetary policy strategy that risks to the financial system that could prevent us from achieving our goals are something that we do take into consideration.,2021,2,2
"You know, it says that we will seek to—seek inflation that runs moderately above 2 percent for some time.",2019,0,2
It’s where we always want inflation to be heading.,2020,2,2
We continue to discuss whether or not the unemployment rate itself is an adequate measure of how much underutilization of labor resources there really is.,2020,2,2
