sentence,year,label,pred_label
"One of the things we’ve learned from our financial crisis and from a series of financial crises in history and around the globe is that, very commonly, when the economy takes a hit and falls into a recession, that productivity doesn’t pick up to pre-recession levels and that there looks like there is a permanent hit to the path of potential output for the economy, which is called “hysteresis.” And I raised the question as to whether or not this might operate in the opposite direction as well.",2021,2,0
"But in terms of just targeting growth, you know, I think—I actually think our dual mandate works very well, which is maximum employment and stable prices.",2018,2,0
"Moreover, in light of the anticipated modest pace of economic recovery, the Committee expects that over coming quarters the unemployment rate will decline only gradually toward its mandate-consistent levels.",2014,0,0
"Core inflation, which excludes energy and food prices, has been running close to 1½ percent.",2017,0,2
The economy is continuing to make progress toward the FOMC’s objective of maximum sustainable employment.,2012,1,2
"I expect that to continue, and I would expect also to see some improvement in the degree of part-time employment that’s for economic reasons.",2019,0,1
And I fully expect it will return to solid growth and a solid labor market as well.,2019,2,2
I think that keeping interest rates low is still appropriate for our economy.,2015,0,0
"You know, monetary policy is a forward-looking exercise, and I’m going to—I’m just going to stick with that.",2014,2,2
"The entire Committee is committed to achieving our 2 percent inflation objective over the December 16, 2015 medium term, just as we want to make sure that inflation doesn’t persist at levels above our Chair Yellen’s Press Conference FINAL 2 percent objective.",2021,0,2
"And as I mentioned earlier, the unemployment decline last month was more than 100 percent accounted for by declines in participation.",2019,0,0
"Admittedly, some of the wage increases is being eaten away by inflation.",2019,1,1
I’m old enough to remember what very high inflation was like.,2012,2,1
"It was to do with, you know, strong monetary policy and fiscal stimulus into an economy that was recovering rapidly, and in which there were these supply-side barriers which effectively led to, you know, in certain parts of the economy, what you might call a vertical supply curve.",2021,1,0
"In real terms, with a 2 percent inflation objective—that’s 1 percent in real terms.",2013,0,2
"So, as I mentioned, we’re going to be looking at all of those things: activity, labor market, inflation.",2019,2,2
We continue to discuss whether or not the unemployment rate itself is an adequate measure of how much underutilization of labor resources there really is.,2020,2,2
"But to the extent that continues to be the case, that should make it easier to restore price stability.",2014,1,2
"You know, it says that we will seek to—seek inflation that runs moderately above 2 percent for some time.",2019,0,2
"We’re also, as part of our review, looking at potential innovations, changes to the way we think about things, changes to the framework that would lead us—that would be more supportive of achieving inflation on a 2 percent—on a symmetric 2 percent basis over time.",2022,2,2
"And we’ve talked about the effects on asset prices,",2022,2,2
"In other cases, it’s pretty clear that inflation has spread more broadly across services.",2013,1,2
It isn’t the kind of inflation that’s spread broadly across the economy.,2021,1,2
"Of course, we can’t do anything about long-run employment opportunities, but we can help the economy recover more quickly.",2021,0,2
"And I can only say qualitatively that the Committee will continue to look at the evolution of the outlook, try to assess whether unemployment is making sufficient progress towards our objectives, and, in particular, whether the recovery is still continuing.",2018,0,2
