sentence,year,label,pred_label
"Nonetheless, if the influence of globalization on inflation is as substantial as many claim, we might have expected the standard model to have had difficulty in predicting recent inflation trends.",1999,2,2
"To see this, suppose that a speculative bubble has emerged and that a central bank, operating under a conventional strategy, has raised interest rates to keep the projected output gap closed and expected inflation at its desired level before the bubble bursts.",2003,1,1
"However, in this framework, the current period appears to be an outlier.4 That is, even after factoring in the current-cycle dynamics of strong profit growth and relatively modest investment, a good part of the rise in liquid assets remains unaccounted for--as much as one half of the total rise in cash-to-assets--according to Federal Reserve staff estimates.",2004,2,0
"Given the difficulty in assigning productivity increases by industry, there is a dispute on how widely productivity implicit in the information revolution has spread across the economy.",1998,0,0
"Expectations of price increases over the near-term--specifically, over the next year--have, in fact, risen noticeably on the heels of the actual increase in inflation.",1996,1,1
"In that regard, the changes in the macroeconomic environment that underlie our monetary policy review may have some implications for financial stability.",2022,2,2
"Indeed, how will we measure inflation, and the associated financial market implications, in the twenty-first century when our data--using current techniques--could become increasingly less adequate to trace price trends over time?",2005,2,1
"Even with generous allowances for structural change, labor utilization would seem to be at a level that might eventually begin to put persistent and growing pressure on labor costs and prices.",2003,1,0
This role is largely a reflection of the New York Fed's responsibility for implementing monetary policy decisions through its open market desk operations.,1999,2,2
"In both of the examples I have just discussed, the medium-frequency evolution of market-based, survey-based, and model-based estimates of r* and expected inflation have, over time, tended to move broadly together.",2019,2,2
"During most of the recent episode, monetary policy broadly followed the Taylor Rule prescription, while holding the nominal federal funds rate about unchanged.",2017,2,1
"Under this interpretation, the lower line in the bottom panel of Figure 1 is an estimate of market inflation expectations over the next five years, and the upper line represents five-year forward expectations of inflation, that is, today's expectation of what average inflation will be between 2009 and 2014.",2005,2,0
"And similar, sometimes even sharper, trajectories of house prices have been witnessed in some economies in which the central banks said they were paying more attention to asset prices.",1998,2,2
The uncertainty about the threshold unemployment rate also suggests a differing degree of intensity in the response of monetary policy to deviations of inflation and output to their respective targets.,2021,2,2
"This outcome would be entirely consistent with the new framework the Federal Reserve unanimously adopted in August 2020 and began to implement at our September 2020 Federal Open Market Committee (FOMC) meeting.2 Recent FOMC Decisions and the New Monetary Policy Framework At FOMC meetings convened since the new framework was announced last August, the Committee made important changes to our policy statement that upgraded our forward guidance about the future path of the federal funds rate and asset purchases to bring it in line with our new framework.",2006,2,2
"The flow of macrodata received since May has been surprisingly strong, and GDP growth in the third quarter is estimated by many forecasters to have rebounded at roughly a 30 percent annual rate.",2004,1,0
These decisions can then push up prices even more and make inflation harder to get under control.,2003,1,2
"To this end, the new statement conveys the Committee's judgment that, in order to anchor expectations at the 2 percent level consistent with price stability, it ""seeks to achieve inflation that averages 2 percent over time,"" andâ€”in the same sentenceâ€”that therefore ""following periods when inflation has been running persistently below 2 percent, appropriate monetary policy will likely aim to achieve inflation moderately above 2 percent for some time.""",2019,1,0
"However, nothing prevents a central bank from switching its focus from the price of reserves to the quantity or growth of reserves.",2004,2,2
Consider a price increase for a breakfast cereal that increases the prices of both the brand-name cereal and the corresponding lower-priced store-brand cereal but maintains a differential between them.,2019,1,0
"The prices of their exports are lower than they would be if market forces were given greater scope in foreign exchange markets, and they are supplying more goods and services to the rest of the world than they themselves are demanding.",2022,0,0
"Waiting too long to begin moving toward the neutral rate could risk a nasty surprise down the road--either too much inflation, financial instability, or both.",2019,1,1
"Despite the prevalence and importance of committees in modern central banking, the role of committees in the formulation of policy has not attracted nearly as much academic attention as has the research on monetary policy rules.3 The literature on monetary policy rules stretches back to at least Adam Smith and includes important contributions from David Ricardo, Knut Wicksell, and Milton Friedman.More recently, John Taylor has moved the research agenda forward with his eponymous rule, and a large number of academic papers have been written examining the effectiveness and robustness of policy rules.4 In contrast, as noted, study of the role of committees in making monetary policy has been fairly light, notwithstanding the insightful work of Alan Blinder and others.5 Committees and rules may appear to be in opposition as approaches to policymaking.",1999,2,2
Market-based measures of inflation compensation have also picked up.,1999,1,2
"For equities, a stock's price-earnings ratio is a standard benchmark for assessing valuation.",2000,2,2
"The Federal Reserve then sets its policy to achieve the broad objectives assigned to it, specifically, price stability and full employment.",2020,1,2
A soft labor market will keep a lid on the growth in the cost of employing workers.,2005,2,2
"Moreover, investing in EMEs has become more attractive as many EMEs have improved their macroeconomic policies and institutional frameworks over recent decades; growth differentials may partly be reflecting these improvements.",2006,2,0
"Fortunately, as we make monetary policy we have the advantage of several forecasts.",2008,2,2
"To this end, the new statement conveys the Committee's judgment that, in order to anchor expectations at the 2 percent level consistent with price stability, it ""seeks to achieve inflation that averages 2 percent over time,"" andâ€”in the same sentenceâ€”that therefore ""following periods when inflation has been running persistently below 2 percent, appropriate monetary policy will likely aim to achieve inflation moderately above 2 percent for some time.""",2007,0,0
"As we gain experience with the enhanced forecasts, we will continue to evaluate how best to promote stability of both prices and employment.",2004,1,2
In this case headline inflation will rise well above its underlying trend as the price of energy rises,2020,1,1
"While these studies allow for differences in the weighting of price indexes across different income groups, they rely on the same elementary price indexes for subcategories of goods and services.",2017,2,0
"Less uncertainty about future inflation could lower the risk premiums on nominal Treasury bonds, lowering the risk-free interest rate.",2005,0,0
"Traditionally, these two measures of excess demand move together over the cycle.",1997,2,2
"But before I comment on productivity, I'd like to begin with a review of recent economic developments.",2021,2,2
"When long-term rates rise in response to a cyclical strengthening, it reflects, in large part, the expectation of higher short-term interest rates.",1999,2,1
"How the forces of demand, potential supply, and expectations interact has probably not been changed in any fundamental way by the recent trend of globalization.",2007,2,2
"For example, although a number of features of Brazilian law promote the independence of the nation's central bank, the bank's de facto independence may be limited by the power of the president to remove members of the Monetary Policy Committee.",2004,2,2
"Eventually, financial markets may develop the instruments and associated analytical techniques for unearthing these implicit changes in the general price level with some precision.",1996,2,2
"Venezuela provides one counterexample, with a long-term inflation forecast now of 15 percent.",2006,2,2
"Despite some recent turbulence, owing in part to geopolitical events, stock prices have logged robust gains over the past 3-1/2 years, and broad equity indices have now retraced most of the ground lost between 2000 and 2002.",2021,2,2
"But, in the interim, the absence of increasing inflation pressures meant that the Federal Reserve did not need to tighten to bring demand back in line with the potential as soon as it otherwise might have needed to.",2013,0,1
"While a constant rate of money growth will not always be optimal, if money demand is sufficiently stable, and not particularly interest sensitive, it will pin down inflation in the long run and help smooth the business cycle in the short run.",1999,0,1
"I will then turn to three challenges our dynamic economy is posing for policy at present: First, what would the consequences of a sharp rise in the price of oil be for the U.S. economy?",2001,1,1
"Of course, if excessive inflationary pressures were to build or inflation expectations were to ratchet above levels consistent with our goal, we would not hesitate to act.",2020,1,2
"Financial markets are the channel through which our policy affects the economy, and asset prices contain valuable information about investors' expectations for the course of policy, economic activity, and inflation, as well as about the risks around those expectations.",2005,2,2
"First, if, as projected, core PCE inflation this year does come in at, or certainly above, 3 percent, I will consider that much more than a ""moderate"" overshoot of our 2 percent longer-run inflation objective.",2005,1,2
The FOMC's primary monetary policy tool is its target range for the federal funds rate.,2003,2,2
"the approach can be applied equally well by ""inflation hawks,"" ""growth hawks,"" and anyone in between.",2020,2,2
The Summary of Economic Projections by FOMC participants in December 2020 had the unemployment rate moving down to 4.2 percent at the end of 2022 and inflation moving up to 2 percent only in 2023.,2006,0,2
"There is, to be sure, no trade-off and hence no inconsistency between full employment and price stability in the long run.",2005,2,2
"But if the economy instead began to overheat, threatening to push inflation to an undesirably high level, the FOMC would have ample scope to respond through tighter monetary policy.",2000,1,0
"We include these types of price terms today in our forecasting equations, and they are important to forming our views of the inflation outlook and thus to the policy process.",2003,2,2
"To the extent that the combination of a low neutral rate, a flat Phillips curve, and low underlying inflation may lead financial imbalances to become more tightly linked to the business cycle, it is important to use tools other than monetary policy to temper the financial cycle.",2007,2,0
"Furthermore, policymakers hoped that additional tools at their disposal--so-called incomes policies enforced by “jawboning,” guideposts, and price and wage controls--were ready to combat and control any resulting upcreep in inflation with minimal macroeconomic cost.",1998,1,2
"Relative to the average episode, commercial real estate prices neither fell much during the recession nor rose a lot during the expansion.",2004,2,0
Our Congressional mandate is to achieve full employment and price stability in the United States.,2002,1,2
"And I'm pleased to have the opportunity to share with you, the students of South Dakota State University (SDSU), my experience as a member of the Federal Reserve Board of Governors and my outlook for the U.S. economy.1 Today I will speak to you about my outlook for the U.S. economy and what the Federal Reserve has been doing to support economic activity during the COVID-19 pandemic recovery.",1998,2,1
"We must keep in mind that, difficult as the problem seems, consistently measured prices do exist in principle.",2021,2,2
