sentence,year,label,pred_label
"However, in light of the projected persistence of slack in labor and product markets and the anticipated stability in long-term inflation expectations, the increase in inflation was expected to be mostly transitory if oil and other commodity prices did not rise significantly further.",2014,2,0
Broad equity price indexes fell sharply over the intermeeting period on net.,2011,2,0
"For a variety of reasons, some emerging-market economies have resisted upward pressures on their exchange rates, even if that resistance requires buying large quantities of dollars to keep their currencies from appreciating.",2000,0,0
"The extraordinary achievement of 1996, of course, was reaching such low levels of unemployment and inflation at the same time.",2013,2,0
A few participants particularly stressed the high uncertainty associated with the expected future path of the unemployment rate and commented that the unemployment rate could rise by considerably more than in the staff forecast.,2020,0,0
All members agreed that the risks to achieving the anticipated reduction in inflation remained of greatest concern.,1997,1,2
"If, in their quest to reduce macroeconomic risk, policymakers overshoot and ease policy too much, they need to be willing to expeditiously remove at least part of that ease before inflationary pressures become a threat.",2019,1,0
"To quantify the importance of the shift in the balance of demand and supply and of the consequent change in the term premium, we can appeal to the research literature on the term structure of interest rates.",2003,2,2
"The Phillips curve has become, according to most estimates, quite flat in the sense that movements in unemployment have only a modest impact on inflation, so we shouldn’t overblow how large that is.",2020,2,0
"That transition itself could help bring inflation down, because, presumably, people would spend a little less on goods while they start spending more on travel and all sorts of travel services and things like that.",2016,2,2
"As a result, recent high inflation readings are transitory and not broad based.",2004,1,1
"However, growth of mortgage loans on banks' books slowed somewhat in the first half of this year.",2007,0,1
"The logic goes as follows: Easier monetary policy, for example, raises stock prices.",2005,2,0
"Eventually, financial markets may develop the instruments and associated analytical techniques for unearthing these implicit changes in the general price level with some precision.",1996,2,2
"At the conclusion of this discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: The information reviewed at this meeting suggests that the expansion in economic activity is still robust.",1999,2,0
"Similarly, measures of underlying inflation continued to be somewhat low relative to levels seen as consistent with the dual mandate over the longer run.",2003,2,0
"In Japan, consumer prices were about unchanged, while wholesale prices edged up in March relative to their level of a year earlier and posted the first increase on a twelve-month basis since July 2000.",2006,2,1
"Progress at Home and Abroad Over the past several quarters, we have seen improvement in inflation and activity both at home and abroad following a period when the drag on domestic activity from abroad was considerable.",2001,2,0
"With regard to our price-stability mandate, while the new statement maintains our definition that the longer-run goal for inflation is 2 percent, it elevates the importanceâ€”and the challengeâ€”of keeping inflation expectations well anchored at 2 percent in a world in which an effective-lower-bound constraint is, in downturns, binding on the federal funds rate.",2000,1,0
"So there’s been a number of emerging markets—as you know, we’re suffering under the weight of declines in oil prices that are affecting their economic activity.",2021,2,0
"Another reason for the reliance on judgment in the forecasting process is the practical requirement that the forecast for inflation be consistent with the staff's overall view of the economy, including the forecasts for key economic variables such as wages, interest rates, and consumption spending.",2022,2,2
Many have observed the rise in the real federal funds rate to a level well above its historical average and concluded that monetary policy is currently restrictive.,2021,1,0
