sentence,year,label,pred_label
"In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its maximum employment objective and its symmetric 2 percent inflation objective.",2001,2,2
"Consumer prices jumped in October, as hurricane damage contributed to higher prices for food and energy.",2014,1,1
"Specifically, the projections converged on CPI inflation rates of 2-1/4 to 2-1/2 percent in 1997 and 2-1/2 to 3 percent in 1998.",2012,2,2
"The steepening of the yield curve was due mostly to sharply lower short- and intermediate-term forward rates, consistent with investors' apparently more pessimistic outlook for economic growth.",2005,0,1
"When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. """,2009,1,2
"Many expected those conditions to be met later this year, although several members were concerned about downside risks to the outlook for real activity and inflation.",2017,0,2
Communications about monetary policy over the intermeeting period generally had little effect on Treasury yields or the expected path of the federal funds rate.,2007,2,2
"Given the pressure of a considerable amount of unused resources, any adverse developments that held down economic expansion would increase the probability of further disinflation.",2010,0,1
"At the same time, however, the staff increased the growth rate forecast for 2006 to reflect the boost to economic activity from the rebuilding effort.",2021,1,0
"Overall employment gains were relatively well maintained, and labor markets were still tight though showing signs of softening.",2012,2,2
"Participants judged that an appropriate firming of the stance of monetary policy, along with an eventual waning of supply–demand imbalances, would help to keep longer-term inflation expectations anchored and bring inflation down over time to levels consistent with the Committee's 2 percent longer-run goal.",2011,1,0
Most participants continued to see the risks to inflation as balanced.,2007,2,2
"Subsequently, the expected future path of monetary policy dropped amid increasing concerns about the health of financial institutions.",1999,0,0
The external sector was expected to exert a small restraining influence on economic activity over the projection period.,2021,0,2
"In the Committee's discussion of current and prospective economic conditions, members focused on the disparate forces that continued to shape trends in economic activity, notably the persist- ence of considerable strength in private domestic spending and the damping influences stemming from foreign economic developments.",1997,2,2
"Although the near-term economic outlook is weak, the Committee anticipates that policy actions to stabilize financial markets and institutions, together with fiscal and monetary stimulus, will contribute to a gradual resumption of sustainable economic growth.",2018,0,2
"Staff Economic Outlook In the economic forecast prepared by the staff for the June FOMC meeting, real GDP growth in the second half of this year was expected to step up from its pace in the first half.",2012,1,2
The available data for October suggested that the contribution of the change in net exports to real GDP growth in the fourth quarter would be much less negative than the drag of nearly 2 percentage points in the third quarter.,2009,2,2
"However, with tightening resource constraints indicating unsustainable growth, only tentative signs that growth might be slowing, and various factors that had been damping prices now turning around, all the members agreed on the need for a slight tightening at this meeting to raise the odds on containing inflation and forestalling the inflationary imbalances that would undercut the very favorable performance of the economy.",2015,1,0
"However, in the view of most members, the outlook for both economic activity and price pressures remained very uncertain, and thus the timing and magnitude of future policy actions was quite unclear.",2014,2,2
U. S. real GDP was forecast to plummet and the unemployment rate to soar in the second quarter of this year.,2015,0,2
"In particular, participants judged that communicating the Committee's expectation that short-term interest rates were likely to stay exceptionally low for some time could be useful because it could lead to pricing of longer-term interest rates consistent with the path of monetary policy that policymakers saw as most likely.",2003,0,0
"The faster pace of real GDP growth was expected to be supported by an easing in the restraint from changes in fiscal policy, increases in consumer and business confidence, further improvements in credit availability and financial conditions, and a pickup in the rate of foreign economic growth.",2021,1,0
Major equity indexes appeared to be supported by lower interest rates and posted modest gains despite the increases in energy prices.,2017,2,0
"In their discussion of the economic situation and the outlook, meeting participants viewed the information received over the intermeeting period as suggesting that economic activity had been expanding moderately despite the global economic and financial developments of recent months.",2020,2,1
Indicators of longer-term inflation expectations were little changed on balance.,2014,2,2
They also noted that even with this additional firming the risks were still weighted mainly in the direction of rising inflationary pressures.,2017,1,1
"Broad equity prices rose, adding to their substantial gains since the middle of 2010.",1999,2,2
"In his view, historical precedents suggested that prolonged periods of taut labor markets were eventually associated with rising inflation.",1999,1,1
"Long-term government bond yields declined and headline equity indexes increased, on net, in most of these countries, with bank stock prices in the euro area rising more than broader indexes.",2022,0,0
"Labor market conditions had improved further, with solid job gains and a lower unemployment rate; taken as a whole, labor market indicators suggested that the underutilization of labor resources was continuing to diminish.",2005,1,0
"Particularly in light of persistent low readings on inflation and from indicators of inflation expectations along with the risks to the U. S. outlook associated with global economic developments, he noted that a policy rate reduction at the current meeting would help re-center inflation and inflation expectations at levels consistent with the Committee's symmetric 2 percent inflation objective and simultaneously provide some insurance against unexpected developments that could slow U. S. economic growth.",2001,0,0
The staff's forecast for inflation was basically unchanged from the projection prepared for the previous FOMC meeting.,2021,2,2
"Staff Review of the Financial Situation On balance, financial conditions in the United States remained supportive of growth in economic activity and employment: The expected path of the federal funds rate was slightly lower in the long run, yields on longer-term Treasury securities moved down modestly, equity prices rose, corporate bond spreads narrowed, and the foreign exchange value of the dollar was little changed.",2001,0,0
"In the household sector, mortgage debt increased at its lowest pace since the late 1990s, reflecting the continued deceleration in house prices.",2010,0,0
"Measures of inflation compensation based on Treasury Inflation-Protected Securities (TIPS) edged up, on net, remaining close to their pre-pandemic levels.",2006,1,2
"Subsequently, investors revised down the expected policy path after the June employment report and the Chairman's semiannual monetary policy testimony.",2002,0,2
"In its accompanying statement, the Committee indicated that, despite elevated energy prices and hurricane-related disruptions, the expansion in economic activity appeared solid.",1999,1,2
"Further out, TIPS-based inflation compensation 5 to 10 years ahead edged down slightly on net.",2016,0,2
"Their forecasts of consumer price inflation for the year, as measured by the PCE chain-type price index, were centered in a range of 1-1/4 to 1-1/2 percent, with a full range of 1-1/4 to 1-3/4 percent.",2001,2,2
One member anticipated little if any effect on economic growth and unemployment and did not agree that the outlook for economic activity and inflation called for further policy accommodation.,1999,2,2
"Indeed, financial services firms had already announced layoffs, largely reflecting mortgage market developments, the demand for temporary workers appeared to have softened, and the most recent weakening in construction employment was likely to continue for a while.",2022,0,2
"While the underlying demand for residential housing continued to be robust and government outlays evidently were rising, the expansion of consumer spending seemed to have slowed, and outlays for capital spending were still very sluggish in an environment of business uncertainty and pessimism.",2006,0,0
"However, as had been the case for many years, the members remained concerned that forecasts of money growth were still subject to a wide range of error in terms of the anticipated relationships between money growth and aggregate economic performance.",1998,2,2
"Indeed, in the interest of fostering a continuation of sustainable growth of the economy, it would be desirable to tighten before any sign of actual higher inflation were to become evident.",2022,1,0
"Employment had risen a little, but not enough to lower the unemployment rate, and labor productivity seemed to be trending sharply upward.",2005,2,0
"Share prices of financial firms fell especially sharply, reportedly a reflection, in part, of concerns about exposures to subprime mortgages and about the effect of a potential slowdown in merger activity on operating profits.",2003,2,0
"The large current account deficit was seen as a factor pointing to potential depreciation of the dollar over time, with adverse repercussions on domestic inflation albeit favorable effects on exports.",2010,1,2
"The staff continued to project that the accommodative stance of monetary policy, together with a further attenuation of financial stress, the waning of adverse effects of earlier declines in wealth, and improving household and business confidence, would support a moderate recovery in economic activity and a gradual decline in the unemployment rate over the next two years.",1998,0,0
"Participants thought that consumer expenditures likely would expand at a moderate pace in coming quarters, supported by solid gains in employment and real income.",1997,1,1
"Although readings on core inflation had improved modestly since the spring, nearly all participants viewed core inflation as uncomfortably high and stressed the importance of further moderation.",2000,1,1
"In the Committee's discussion of possible adjustments to policy during the intermeeting period, members agreed that the retention of an asymmetric directive toward tightening was consistent with their view that the risks remained biased toward higher inflation.",2022,1,0
"The vote encompassed approval of the statement below to be released at 2:00 p. m. : ""Information received since the Federal Open Market Committee met in March indicates that growth in economic activity has picked up recently, after having slowed sharply during the winter in part because of adverse weather conditions.",2001,2,0
"Economic data releases were mixed, on balance, over the intermeeting period, but market participants were especially attentive to incoming information on the labor market--most notably, the private payroll figures in the employment report for May, which were considerably weaker than investors expected.",2016,0,1
"In light of these uncertainties as well as continued evidence of muted inflation pressures, participants generally agreed that a patient approach to determining future adjustments to the target range for the federal funds rate remained appropriate.",2003,2,2
"Nonetheless, the reported rise in employment of temporary workers in recent months could presage a broader increase in job growth and thus was a welcome development.",2021,1,0
Surveys indicated that households’ expectations of inflation over the next year were little changed in February while households’ and professional forecasters’ longer-term inflation expectations edged lower.,2000,2,0
Expansion of these two monetary aggregates was supported by further rapid expansion in the demand for currency and stronger inflows to retail money market funds at a time of weakness in U. S. bond and equity markets.,2004,1,0
"For 2000, the Committee agreed on a tentative basis in June to retain the same ranges for growth of the monetary aggregates and debt, measured from the fourth quarter of 1999 to the fourth quarter of 2000.",2007,2,2
Some participants noted that communications about the appropriate path of policy would be a focus of market participants in the current environment and commented that it would be important to emphasize that the Committee's reaction function or commitment to its monetary policy framework had not changed.,2009,2,2
” The vote encompassed approval of the paragraph below for inclusion in the statement to be released shortly after the meeting: “The Committee perceives the upside and downside risks to the attainment of both sustainable growth and price stability for the next few quarters to be roughly equal.,2013,2,0
"With the restraint from fiscal policy assumed to increase next year, the staff projected that increases in real GDP would not significantly exceed the growth rate of potential output in 2013.",2003,2,0
"First, the projected rates of productivity gains and potential output growth over the medium term were trimmed.",2014,0,2
"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the System Account in accordance with the following domestic policy directive: ""The Federal Open Market Committee seeks monetary and financial conditions that will foster price stability and promote sustainable growth in output.",2009,1,0
"On balance over the intermeeting period, interest rates on private instruments registered small mixed changes while yields on longer-term Treasury securities declined significantly.",2005,0,0
"A surge in nonfarm business inventory investment accounted for a substantial portion of the acceleration in output in the first quarter, and an anticipated moderation in the accumulation of inventories was an important element in forecasts of greatly reduced economic growth in the current quarter.",2003,0,1
